,代码,名称,盈利额
200,300964,本川智能,19371.0
201,603866,桃李面包,19305.0
202,002216,三全食品,19154.0
203,003032,传智教育,19120.0
204,300073,当升科技,19056.0
205,300978,东箭科技,19044.0
206,601865,福莱特,19039.0
207,300310,宜通世纪,19020.0
208,300604,长川科技,18981.0
209,300158,振东制药,18960.0
210,300400,劲拓股份,18943.0
211,688777,中控技术,18874.0
212,688800,瑞可达,18761.0
213,600460,士兰微,18750.0
214,600298,安琪酵母,18722.0
215,301004,嘉益股份,18696.0
216,002623,亚玛顿,18640.0
217,300475,聚隆科技,18619.0
218,300351,永贵电器,18592.0
219,603688,石英股份,18536.0
220,603197,保隆科技,18533.0
221,000516,国际医学,18401.0
222,300892,品渥食品,18373.0
223,002597,金禾实业,18369.0
224,300042,朗科科技,18369.0
225,002706,良信股份,18294.0
226,300627,华测导航,18292.0
227,603198,迎驾贡酒,18245.0
228,688301,奕瑞科技,18215.0
229,300398,飞凯材料,18204.0
230,300118,东方日升,18150.0
231,600055,万东医疗,18138.0
232,300170,汉得信息,18096.0
233,002189,中光学,18096.0
234,688696,极米科技,18084.0
235,603399,吉翔股份,18062.0
236,300656,民德电子,18057.0
237,688019,安集科技,18040.0
238,300049,福瑞股份,17970.0
239,000938,紫光股份,17956.0
240,002425,凯撒文化,17930.0
241,003022,联泓新科,17903.0
242,688005,容百科技,17901.0
243,300303,聚飞光电,17873.0
244,600089,特变电工,17858.0
245,600779,水井坊,17828.0
246,688697,纽威数控,17805.0
247,002507,涪陵榨菜,17786.0
248,000848,承德露露,17738.0
249,688363,华熙生物,17702.0
250,000586,汇源通信,17695.0
251,300241,瑞丰光电,17648.0
252,688656,浩欧博,17640.0
253,300600,国瑞科技,17633.0
254,000301,东方盛虹,17593.0
255,300896,爱美客,17577.0
256,002617,露笑科技,17553.0
257,300373,扬杰科技,17545.0
258,300736,百邦科技,17525.0
259,688111,金山办公,17507.0
260,300390,天华超净,17460.0
261,002812,恩捷股份,17454.0
262,002705,新宝股份,17432.0
263,300146,汤臣倍健,17409.0
264,600085,同仁堂,17407.0
265,002506,协鑫集成,17395.0
266,300630,普利制药,17319.0
267,603730,岱美股份,17296.0
268,300653,正海生物,17280.0
269,600436,片仔癀,17280.0
270,300113,顺网科技,17276.0
271,002141,贤丰控股,17275.0
272,600226,ST瀚叶,17232.0
273,688239,航宇科技,17225.0
274,603059,倍加洁,17222.0
275,603105,芯能科技,17218.0
276,002776,ST柏龙,17157.0
277,300199,翰宇药业,17150.0
278,600375,汉马科技,17148.0
279,300863,卡倍亿,17120.0
280,000809,铁岭新城,17076.0
281,301059,金三江,17076.0
282,603755,日辰股份,17072.0
283,300315,掌趣科技,17070.0
284,603799,华友钴业,17043.0
285,601238,广汽集团,16990.0
286,002089,ST新海,16968.0
287,603228,景旺电子,16898.0
288,003036,泰坦股份,16877.0
289,300359,全通教育,16839.0
290,300763,锦浪科技,16630.0
291,002558,巨人网络,16616.0
292,605198,德利股份,16615.0
293,603020,爱普股份,16612.0
294,688010,福光股份,16550.0
295,300102,乾照光电,16518.0
296,300957,贝泰妮,16515.0
297,300635,中达安,16483.0
298,002592,ST八菱,16469.0
299,002027,分众传媒,16447.0
300,300002,神州泰岳,16425.0
301,603027,千禾味业,16424.0
302,600586,金晶科技,16332.0
303,300648,星云股份,16307.0
304,605577,龙版传媒,16296.0
305,300706,阿石创,16293.0
306,300015,爱尔眼科,16292.0
307,301015,百洋医药,16279.0
308,002282,博深股份,16248.0
309,000718,苏宁环球,16246.0
310,002022,科华生物,16210.0
311,300572,安车检测,16102.0
312,603099,长白山,16092.0
313,000420,吉林化纤,16052.0
314,300209,天泽信息,16037.0
315,002805,丰元股份,15996.0
316,300990,同飞股份,15941.0
317,603456,九洲药业,15929.0
318,002309,中利集团,15914.0
319,600259,广晟有色,15914.0
320,601633,长城汽车,15875.0
321,000980,*ST众泰,15866.0
322,002025,航天电器,15855.0
323,688707,振华新材-U,15850.0
324,688356,键凯科技,15777.0
325,600039,四川路桥,15752.0
326,300760,迈瑞医疗,15740.0
327,688168,安博通,15736.0
328,002312,川发龙蟒,15682.0
329,002770,*ST科迪,15660.0
330,688006,杭可科技,15656.0
331,300256,*ST星星,15655.0
332,603517,绝味食品,15618.0
333,300081,恒信东方,15606.0
334,600301,*ST南化,15597.0
335,300138,晨光生物,15596.0
336,300801,泰和科技,15582.0
337,301089,C拓新,15522.0
338,300691,联合光电,15510.0
339,300393,中来股份,15501.0
340,688778,厦钨新能,15472.0
341,603466,风语筑,15442.0
342,000403,派林生物,15424.0
343,688700,东威科技,15413.0
344,002416,爱施德,15403.0
345,300204,舒泰神,15391.0
346,688396,华润微,15388.0
347,600887,伊利股份,15382.0
348,601111,中国国航,15361.0
349,600530,交大昂立,15353.0
350,600867,通化东宝,15304.0
351,603606,东方电缆,15302.0
352,603330,上海天洋,15289.0
353,002707,众信旅游,15276.0
354,603811,诚意药业,15265.0
355,300507,苏奥传感,15264.0
356,300076,GQY视讯,15256.0
357,300531,优博讯,15250.0
358,300842,帝科股份,15143.0
359,300767,震安科技,15141.0
360,002411,延安必康,15108.0
361,002185,华天科技,15083.0
362,300820,英杰电气,15053.0
363,300661,圣邦股份,15036.0
364,002518,科士达,15020.0
365,600399,抚顺特钢,14991.0
366,002156,通富微电,14966.0
367,000550,江铃汽车,14961.0
368,300777,中简科技,14928.0
369,688187,时代电气,14909.0
370,688630,芯碁微装,14868.0
371,603178,圣龙股份,14855.0
372,002590,万安科技,14831.0
373,600378,昊华科技,14792.0
374,300750,宁德时代,14784.0
375,002013,中航机电,14763.0
376,300894,火星人,14760.0
377,300811,铂科新材,14736.0
378,603429,集友股份,14729.0
379,300496,中科创达,14699.0
380,601137,博威合金,14689.0
381,000930,中粮科技,14672.0
382,603995,甬金股份,14664.0
383,605186,健麾信息,14660.0
384,605060,联德股份,14660.0
385,600438,通威股份,14652.0
386,605299,舒华体育,14632.0
387,603297,永新光学,14588.0
388,002460,赣锋锂业,14572.0
389,002900,哈三联,14553.0
390,002555,三七互娱,14544.0
391,300054,鼎龙股份,14542.0
392,605088,冠盛股份,14530.0
393,600415,小商品城,14521.0
394,002937,兴瑞科技,14500.0
395,603345,安井食品,14456.0
396,601218,吉鑫科技,14444.0
397,600829,人民同泰,14407.0
398,600502,安徽建工,14404.0
399,300952,恒辉安防,14387.0
400,300416,苏试试验,14370.0
401,000892,欢瑞世纪,14368.0
402,601777,力帆科技,14358.0
403,300562,乐心医疗,14354.0
404,002891,中宠股份,14340.0
405,605177,东亚药业,14335.0
406,300296,利亚德,14332.0
407,000890,法尔胜,14314.0
408,300694,蠡湖股份,14300.0
409,000762,西藏矿业,14277.0
410,300283,温州宏丰,14260.0
411,688278,特宝生物,14237.0
412,002741,光华科技,14181.0
413,603501,韦尔股份,14176.0
414,600872,中炬高新,14146.0
415,600305,恒顺醋业,14112.0
416,688799,华纳药厂,14081.0
417,688155,先惠技术,14078.0
418,688169,石头科技,14076.0
419,603803,瑞斯康达,14050.0
420,600139,ST西源,14040.0
421,002410,广联达,14030.0
422,603707,健友股份,14023.0
423,603906,龙蟠科技,14000.0
424,605388,均瑶健康,13967.0
425,002017,东信和平,13962.0
426,603186,华正新材,13946.0
427,600577,精达股份,13926.0
428,000597,东北制药,13872.0
429,002149,西部材料,13840.0
430,002006,精功科技,13833.0
431,688589,力合微,13802.0
432,300898,熊猫乳品,13802.0
433,300995,奇德新材,13782.0
434,300344,立方数科,13770.0
435,300460,惠伦晶体,13758.0
436,601127,小康股份,13728.0
437,600661,昂立教育,13720.0
438,002193,如意集团,13720.0
439,301060,兰卫医学,13706.0
440,300787,海能实业,13705.0
441,000524,岭南控股,13704.0
442,301055,张小泉,13680.0
443,600277,亿利洁能,13665.0
444,002105,信隆健康,13658.0
445,000633,合金投资,13653.0
446,688678,福立旺,13634.0
447,300347,泰格医药,13632.0
448,002850,科达利,13612.0
449,603025,大豪科技,13587.0
450,300941,创识科技,13576.0
451,301050,雷电微力,13567.0
452,300490,华自科技,13565.0
453,300768,迪普科技,13551.0
454,000757,浩物股份,13519.0
455,688366,昊海生科,13494.0
456,002201,九鼎新材,13464.0
457,300447,全信股份,13461.0
458,688258,卓易信息,13456.0
459,300278,*ST华昌,13448.0
460,300223,北京君正,13403.0
461,603259,药明康德,13401.0
462,603055,台华新材,13366.0
463,300433,蓝思科技,13356.0
464,600573,惠泉啤酒,13344.0
465,301048,金鹰重工,13330.0
466,600316,洪都航空,13328.0
467,688355,明志科技,13274.0
468,300702,天宇股份,13268.0
469,002222,福晶科技,13254.0
470,300908,仲景食品,13242.0
471,002346,柘中股份,13237.0
472,600609,金杯汽车,13232.0
473,688357,建龙微纳,13228.0
474,002212,天融信,13225.0
475,603599,广信股份,13218.0
476,002461,珠江啤酒,13181.0
477,600361,华联综超,13175.0
478,002007,华兰生物,13166.0
479,000546,金圆股份,13152.0
480,002150,通润装备,13152.0
481,002923,润都股份,13142.0
482,300726,宏达电子,13110.0
483,002684,*ST猛狮,13102.0
484,688385,复旦微电,13086.0
485,688350,富淼科技,13056.0
486,300910,瑞丰新材,13054.0
487,300710,万隆光电,13047.0
488,300395,菲利华,13036.0
489,300742,越博动力,13035.0
490,603008,喜临门,13024.0
491,002570,贝因美,13020.0
492,300701,森霸传感,13002.0
493,603779,威龙股份,13000.0
494,605339,南侨食品,12968.0
495,300559,佳发教育,12958.0
496,300017,网宿科技,12957.0
497,605055,迎丰股份,12946.0
498,600199,金种子酒,12942.0
499,600703,三安光电,12940.0
500,300505,川金诺,12933.0
501,688050,爱博医疗,12920.0
502,002927,泰永长征,12919.0
503,300814,中富电路,12916.0
504,688091,上海谊众-U,12911.0
505,600099,林海股份,12907.0
506,002147,*ST新光,12873.0
507,600405,动力源,12864.0
508,300548,博创科技,12861.0
509,002511,中顺洁柔,12860.0
510,688580,伟思医疗,12860.0
511,300504,天邑股份,12851.0
512,601689,拓普集团,12846.0
