,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20180319,-0.103,6.1,-20135.36,20135.36,0.0,20104.51
1,20180320,-0.094,6.1,-18305.3,38440.66,0.0,38381.33
2,20180321,-0.005,6.27,-632.01,39072.670000000006,0.0,40077.2
3,20180322,-0.237,6.39,-47298.56,86371.23000000001,0.0,88070.39
4,20180323,-0.063,6.11,-12225.2,98596.43000000001,0.0,96415.75
5,20180326,-0.147,5.91,-28966.73,127563.16,0.0,122182.01
6,20180327,-0.162,6.5,-31858.45,159421.61000000002,0.0,166189.44
7,20180328,-0.127,6.56,-24934.61,184356.22000000003,0.0,192619.98
8,20180329,-0.158,6.48,-31112.26,215468.48000000004,0.0,221335.56
9,20180330,-0.17,6.44,-33496.89,248965.37000000005,0.0,253414.89
10,20180402,-0.089,6.37,-17204.27,266169.6400000001,0.0,267837.57
11,20180403,-0.069,6.4,-13445.21,279614.8500000001,0.0,282521.98
12,20180404,-0.101,6.31,-20197.37,299812.2200000001,0.0,298715.39
13,20180409,-0.15,6.18,-29671.9,329484.1200000001,0.0,322187.54
14,20180410,-0.118,6.23,-23057.13,352541.2500000001,0.0,347816.09
15,20180411,-0.113,6.22,-22397.96,374939.21000000014,0.0,369621.44
16,20180412,-0.09,6.25,-17505.28,392444.4900000001,0.0,388882.05
17,20180413,-0.107,6.19,-21051.6,413496.0900000001,0.0,406168.08
18,20180416,-0.172,6.02,-34323.15,447819.2400000001,0.0,429283.57
19,20180417,-0.18,5.98,-35889.57,483708.8100000001,0.0,462265.7
20,20180418,-0.201,5.91,-40198.73,523907.5400000001,0.0,496991.55
21,20180419,-0.176,5.94,-35055.35,558962.8900000001,0.0,534516.0
22,20180420,-0.239,5.78,-47408.67,606371.5600000002,0.0,567453.95
23,20180423,-0.288,5.65,-57080.28,663451.8400000002,0.0,611683.59
24,20180424,-0.17,5.9,-33638.98,697090.8200000002,0.0,672337.1
25,20180425,-0.18,5.86,-35755.55,732846.3700000002,0.0,703479.52
26,20180426,-0.282,5.79,-56178.01,789024.3800000002,0.0,751167.86
