,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20181206,-0.02,5.44,-3813.07,3813.07,0.0,3799.12
1,20181207,-0.013,5.46,-2189.04,6002.110000000001,0.0,5994.88
2,20181210,-0.039,5.33,-7467.14,13469.25,0.0,13306.42
3,20181211,-0.033,5.35,-6425.12,19894.37,0.0,19769.84
4,20181212,-0.028,5.36,-5365.1,25259.47,0.0,25160.04
5,20181213,-0.021,5.39,-3778.07,29037.54,0.0,29069.08
6,20181214,-0.058,5.22,-11489.22,40526.76,0.0,39621.65
7,20181217,-0.05,5.25,-9980.19,50506.950000000004,0.0,49811.71
8,20181218,-0.058,5.21,-11467.22,61974.170000000006,0.0,60879.63
9,20181219,-0.068,5.16,-13421.26,75395.43000000001,0.0,73694.34
10,20181220,-0.059,5.2,-11445.22,86840.65000000001,0.0,85691.1
11,20181221,-0.075,5.12,-14853.29,101693.94,0.0,99201.9
12,20181224,-0.078,5.1,-15305.3,116999.24,0.0,114094.96
13,20181225,-0.091,5.03,-18113.36,135112.6,0.0,130613.93
14,20181226,-0.074,5.1,-14795.29,149907.89,0.0,147202.87
15,20181227,-0.064,5.14,-12341.24,162249.13,0.0,160677.77
16,20181228,-0.025,5.31,-4784.09,167033.22,0.0,170765.05
17,20190102,-0.026,5.3,-4775.09,171808.31,0.0,175207.4
18,20190103,-0.066,5.83,-12831.22,184639.53,0.0,205538.22
19,20190104,0.214,6.41,42252.46,184639.53,42252.46,183734.17
20,20190107,0.367,7.05,73227.31,184639.53,115479.76999999999,128851.9
21,20190108,0.43,7.37,85383.98,184639.53,200863.75,49316.61
22,20190109,0.428,7.4,49517.36,184639.53,250381.11,0.0
23,20190110,0.312,6.91,0.0,184639.53,250381.11,0.0
24,20190111,0.279,6.8,0.0,184639.53,250381.11,0.0
25,20190114,0.267,6.78,0.0,184639.53,250381.11,0.0
26,20190115,0.27,6.83,0.0,184639.53,250381.11,0.0
27,20190116,0.195,6.52,0.0,184639.53,250381.11,0.0
28,20190117,0.183,6.49,0.0,184639.53,250381.11,0.0
29,20190118,0.185,6.52,0.0,184639.53,250381.11,0.0
30,20190121,0.167,6.46,0.0,184639.53,250381.11,0.0
31,20190122,0.168,6.48,0.0,184639.53,250381.11,0.0
32,20190123,0.17,6.51,0.0,184639.53,250381.11,0.0
33,20190124,0.151,6.44,0.0,184639.53,250381.11,0.0
34,20190125,0.071,6.09,0.0,184639.53,250381.11,0.0
