,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20120323,-0.049,6.3,-9455.15,9455.15,0.0,9435.4
1,20120327,-0.047,6.31,-8839.14,18294.29,0.0,18275.41
2,20120328,-0.072,6.19,-14242.23,32536.52,0.0,32147.25
3,20120329,-0.085,6.12,-16529.27,49065.79,0.0,48286.78
4,20120330,-0.054,6.27,-10664.17,59729.96,0.0,60115.8
5,20120405,-0.063,6.27,-12545.2,72275.16,0.0,72639.93
6,20120406,-0.061,6.28,-11937.19,84212.35,0.0,84672.68
7,20120409,-0.081,6.18,-16073.26,100285.61,0.0,99372.02
8,20120411,-0.066,6.25,-13130.21,113415.82,0.0,113605.99
9,20120412,-0.038,6.39,-7034.11,120449.93000000001,0.0,123170.91
10,20120413,-0.038,6.39,-7034.11,127484.04000000001,0.0,130191.02
11,20120416,-0.04,6.38,-7661.12,135145.16,0.0,137633.58
12,20120417,-0.047,6.35,-8895.14,144040.3,0.0,145865.14
13,20120418,-0.028,6.44,-5157.08,149197.37999999998,0.0,153078.03
14,20120419,-0.026,6.45,-5165.08,154362.45999999996,0.0,158469.2
15,20120420,-0.005,6.55,-660.01,155022.46999999997,0.0,161580.3
16,20120423,-0.019,6.48,-3245.05,158267.51999999996,0.0,163089.36
17,20120424,-0.024,6.58,-4611.07,162878.58999999997,0.0,170206.38
18,20120425,-0.021,6.59,-3959.06,166837.64999999997,0.0,174414.06
19,20120426,-0.018,6.6,-3305.05,170142.69999999995,0.0,177974.55
20,20120427,-0.07,6.65,-13970.21,184112.90999999995,0.0,193270.2
21,20120502,-0.04,6.8,-7485.11,191598.01999999993,0.0,205100.28
22,20120504,-0.036,6.82,-6825.1,198423.11999999994,0.0,212514.9
23,20120507,-0.035,6.82,-6825.1,205248.21999999994,0.0,219326.27
24,20120508,-0.044,6.77,-8129.12,213377.33999999994,0.0,225832.01
25,20120509,-0.053,6.72,-10085.15,223462.48999999993,0.0,234231.35
