trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb61,min1,min2,min3,max1,max2,max3,close,pb1,maxdif
20141127,1.9139,1.7816,1.5856,1.5005,1.4392,1.4039,1.3536,1.327,1.3551,1.4002,1.327,1.3536,1.3551,1.9139,1.7816,1.5856,2.784,1.52,-0.3938999999999999
20141128,1.9124,1.7807,1.5847,1.4999,1.4389,1.4041,1.3536,1.3275,1.3575,1.4028,1.3275,1.3536,1.3575,1.9124,1.7807,1.5847,2.85,1.55,-0.36240000000000006
20141201,1.9109,1.7799,1.584,1.4995,1.4387,1.4043,1.3537,1.3281,1.3601,1.4061,1.3281,1.3537,1.3601,1.9109,1.7799,1.584,2.853,1.55,-0.3609
20141202,1.9094,1.7791,1.5832,1.499,1.4384,1.4046,1.3537,1.3286,1.3628,1.4095,1.3286,1.3537,1.3628,1.9094,1.7791,1.5832,2.966,1.6,-0.3093999999999999
20141203,1.9079,1.7783,1.5825,1.4987,1.4382,1.4049,1.354,1.3294,1.3658,1.4139,1.3294,1.354,1.3658,1.9079,1.7783,1.5825,2.998,1.61,-0.29789999999999983
20141204,1.9065,1.7775,1.5818,1.4983,1.438,1.4053,1.3543,1.3302,1.3689,1.4184,1.3302,1.3543,1.3689,1.9065,1.7775,1.5818,3.18,1.68,-0.22650000000000015
20141205,1.9051,1.7768,1.5813,1.498,1.4379,1.4059,1.3548,1.3312,1.3726,1.4236,1.3312,1.3548,1.3726,1.9051,1.7768,1.5813,3.161,1.71,-0.19510000000000005
20141208,1.9038,1.776,1.5807,1.4978,1.4379,1.4065,1.3553,1.3324,1.3765,1.4292,1.3324,1.3553,1.3765,1.9038,1.776,1.5807,3.313,1.76,-0.14379999999999993
20141209,1.9026,1.7753,1.5802,1.4977,1.438,1.4073,1.3561,1.3338,1.3807,1.4354,1.3338,1.3561,1.3807,1.9026,1.7753,1.5802,3.13,1.66,-0.24260000000000015
20141210,1.9013,1.7746,1.5795,1.4974,1.438,1.4078,1.3566,1.3348,1.3842,1.4398,1.3348,1.3566,1.3842,1.9013,1.7746,1.5795,3.243,1.7,-0.20130000000000003
20141211,1.9,1.7739,1.579,1.4972,1.438,1.4084,1.3574,1.336,1.3879,1.4449,1.336,1.3574,1.3879,1.9,1.7739,1.579,3.208,1.69,-0.20999999999999996
20141212,1.8987,1.7732,1.5784,1.497,1.4381,1.409,1.3581,1.3372,1.3914,1.4498,1.3372,1.3581,1.3914,1.8987,1.7732,1.5784,3.218,1.69,-0.2087000000000001
20141215,1.8974,1.7725,1.5777,1.4968,1.4381,1.4095,1.3588,1.3384,1.395,1.4549,1.3384,1.3588,1.395,1.8974,1.7725,1.5777,3.255,1.7,-0.19740000000000002
20141216,1.896,1.7718,1.5772,1.4966,1.4381,1.41,1.3595,1.3398,1.3987,1.46,1.3398,1.3595,1.3987,1.896,1.7718,1.5772,3.331,1.74,-0.15599999999999992
20141217,1.8947,1.7711,1.5766,1.4965,1.4382,1.4106,1.3604,1.3413,1.4029,1.4656,1.3413,1.3604,1.4029,1.8947,1.7711,1.5766,3.388,1.77,-0.12470000000000003
20141218,1.8933,1.7706,1.5762,1.4964,1.4383,1.4112,1.3614,1.343,1.4071,1.472,1.343,1.3614,1.4071,1.8933,1.7706,1.5762,3.384,1.77,-0.12329999999999997
20141219,1.892,1.77,1.5756,1.4964,1.4384,1.4118,1.3625,1.3447,1.4114,1.4784,1.3447,1.3625,1.4114,1.892,1.77,1.5756,3.434,1.8,-0.09199999999999986
