trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb61,min1,min2,min3,max1,max2,max3,close,pb1,maxdif
20170203,2.3138,2.3096,2.3908,2.3172,2.3392,2.3137,1.8723,1.7792,1.8162,1.8587,1.7792,1.8162,1.8587,2.3908,2.3392,2.3172,7.8,1.808,-0.5828
20170206,2.3134,2.3095,2.3898,2.3166,2.3386,2.3103,1.8707,1.7803,1.8169,1.8597,1.7803,1.8169,1.8597,2.3898,2.3386,2.3166,7.77,1.801,-0.5888000000000002
20170207,2.3128,2.3094,2.3884,2.316,2.3377,2.3067,1.8689,1.781,1.8178,1.86,1.781,1.8178,1.86,2.3884,2.3377,2.316,7.76,1.7987,-0.5896999999999999
20170208,2.3121,2.3093,2.387,2.3155,2.3368,2.3032,1.8671,1.7818,1.8185,1.8603,1.7818,1.8185,1.8603,2.387,2.3368,2.3155,8.09,1.8752,-0.5118
20170209,2.3116,2.3093,2.3858,2.3152,2.336,2.3001,1.866,1.7828,1.8199,1.8617,1.7828,1.8199,1.8617,2.3858,2.336,2.3152,8.23,1.9076,-0.4782000000000002
20170210,2.3111,2.3091,2.3842,2.3147,2.3353,2.2972,1.865,1.7839,1.8215,1.8636,1.7839,1.8215,1.8636,2.3842,2.3353,2.3147,8.28,1.9192,-0.46499999999999986
20170213,2.3106,2.309,2.3826,2.3142,2.3347,2.2946,1.864,1.785,1.8232,1.8661,1.785,1.8232,1.864,2.3826,2.3347,2.3142,8.25,1.9123,-0.47029999999999994
20170214,2.3101,2.3089,2.3811,2.3138,2.3338,2.2917,1.8627,1.7861,1.8247,1.8679,1.7861,1.8247,1.8627,2.3811,2.3338,2.3138,8.32,1.9285,-0.4525999999999999
20170215,2.3096,2.3087,2.3798,2.3132,2.3331,2.2891,1.8617,1.7875,1.8262,1.867,1.7875,1.8262,1.8617,2.3798,2.3331,2.3132,8.3,1.9239,-0.45589999999999997
20170216,2.3092,2.3085,2.3785,2.3126,2.3324,2.2866,1.8607,1.7885,1.8278,1.8643,1.7885,1.8278,1.8607,2.3785,2.3324,2.3126,8.48,1.9656,-0.4128999999999998
20170303,2.3089,2.3084,2.3771,2.3121,2.3318,2.284,1.8598,1.7896,1.8298,1.8625,1.7896,1.8298,1.8598,2.3771,2.3318,2.3121,8.01,1.8566,-0.5205
20170306,2.3084,2.3083,2.3758,2.3115,2.3311,2.2809,1.858,1.7902,1.8305,1.8593,1.7902,1.8305,1.858,2.3758,2.3311,2.3115,8.45,1.9586,-0.4172
20170307,2.3079,2.3081,2.3745,2.3111,2.3304,2.2775,1.8566,1.7913,1.8314,1.8577,1.7913,1.8314,1.8566,2.3745,2.3304,2.3111,8.53,1.9772,-0.39729999999999976
20170308,2.3073,2.308,2.3731,2.3107,2.3308,2.2741,1.8553,1.7922,1.8325,1.8572,1.7922,1.8325,1.8553,2.3731,2.3308,2.3107,8.48,1.9656,-0.4075
20170309,2.3069,2.3079,2.3718,2.3102,2.3312,2.2707,1.8538,1.7933,1.8338,1.8565,1.7933,1.8338,1.8538,2.3718,2.3312,2.3102,8.49,1.9679,-0.4038999999999999
20170310,2.3064,2.3078,2.3704,2.3097,2.3317,2.2675,1.8524,1.7942,1.8352,1.8547,1.7942,1.8352,1.8524,2.3704,2.3317,2.3097,8.59,1.9911,-0.37929999999999997
20170313,2.3059,2.3076,2.3687,2.3092,2.3321,2.2642,1.8515,1.7959,1.8367,1.8541,1.7959,1.8367,1.8515,2.3687,2.3321,2.3092,8.54,1.9795,-0.3892
20170314,2.3055,2.3075,2.367,2.3088,2.3325,2.2608,1.8511,1.7975,1.8383,1.853,1.7975,1.8383,1.8511,2.367,2.3325,2.3088,8.56,1.9841,-0.3829
20170315,2.305,2.3073,2.3653,2.3083,2.3329,2.2576,1.8514,1.7993,1.8398,1.8515,1.7993,1.8398,1.8514,2.3653,2.3329,2.3083,8.49,1.9679,-0.3974
