,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20130606,-0.041,5.61,-7859.14,7859.14,0.0,7841.01
1,20130607,-0.105,5.51,-20943.61,28802.75,0.0,28615.67
2,20130613,-0.164,5.4,-32408.7,61211.45,0.0,60403.28
3,20130614,-0.116,5.47,-22980.16,84191.61,0.0,84131.16
4,20130617,-0.051,5.57,-10031.18,94222.79000000001,0.0,95682.52
5,20130618,-0.048,5.57,-9474.17,103696.96,0.0,105139.52
6,20130619,-0.01,5.63,-1694.03,105390.99,0.0,107958.96
7,20130620,-0.065,5.53,-12724.23,118115.22,0.0,118744.23
8,20130621,-0.132,5.41,-25974.97,144090.19,0.0,142102.52
9,20130624,-0.433,4.89,-86576.41,230666.6,0.0,214886.65
10,20130625,-0.495,4.77,-98765.75,329432.35,0.0,308226.76
11,20130626,-0.472,4.79,-94388.56,423820.91,0.0,403762.22
12,20130627,-0.571,4.6,-114111.0,537931.9099999999,0.0,501681.18
13,20130628,-0.616,4.5,-122883.44,660815.3499999999,0.0,613468.54
14,20130701,-0.566,4.56,-113118.75,773934.0999999999,0.0,734592.46
15,20130702,-0.536,4.59,-106976.07,880910.1699999999,0.0,846236.4
16,20130703,-0.571,4.51,-114134.06,995044.23,0.0,945444.7
17,20130704,-0.53,4.56,-105820.77,1100865.0,0.0,1061584.02
18,20130705,-0.508,4.58,-101245.51,1202110.51,0.0,1167329.46
19,20130708,-0.632,4.35,-126184.44,1328294.95,0.0,1234696.24
20,20130709,-0.602,4.38,-120044.74,1448339.69,0.0,1363070.83
21,20130710,-0.508,4.52,-101275.55,1549615.24,0.0,1507759.5
22,20130711,-0.411,4.67,-82214.31,1631829.55,0.0,1639884.38
23,20130712,-0.472,4.55,-94210.62,1726040.17,0.0,1691810.31
24,20130715,-0.426,4.61,-84847.05,1810887.22,0.0,1798836.52
25,20130716,-0.402,4.5,-80121.81,1891009.03,0.0,1835911.34
26,20130717,-0.334,4.6,-66718.12,1957727.15,0.0,1943325.45
27,20130718,-0.334,4.59,-66573.09,2024300.24,0.0,2005571.09
28,20130719,-0.418,4.44,-83494.75,2107794.99,0.0,2023393.91
29,20130722,-0.398,4.46,-79409.63,2187204.62,0.0,2111795.48
30,20130723,-0.245,4.7,-48893.26,2236097.88,0.0,2274255.11
31,20130724,-0.251,4.68,-50089.59,2286187.4699999997,0.0,2314589.56
32,20130725,-0.134,4.86,-26737.23,2312924.6999999997,0.0,2430310.18
33,20130726,-0.063,4.97,-12430.25,2325354.9499999997,0.0,2497727.55
34,20130729,-0.031,5.02,-6029.12,2331384.07,0.0,2528872.45
35,20130730,-0.059,4.97,-11436.23,2342820.3,0.0,2515100.46
36,20130731,-0.201,4.73,-39742.77,2382563.07,0.0,2433325.96
37,20130801,-0.179,4.76,-35709.68,2418272.75,0.0,2484414.27
38,20130802,-0.204,4.71,-40516.99,2458789.74,0.0,2498771.44
39,20130805,-0.125,4.73,-24602.67,2483392.41,0.0,2533946.9
40,20130806,-0.117,4.73,-23183.28,2506575.69,0.0,2557094.43
41,20130807,-0.037,4.84,-7265.15,2513840.84,0.0,2623813.78
42,20130808,-0.098,4.74,-19439.41,2533280.25,0.0,2589010.93
43,20130809,-0.126,4.69,-24863.74,2558143.99,0.0,2586525.51
44,20130812,-0.054,4.79,-10543.22,2568687.2100000004,0.0,2652201.09
45,20130813,-0.004,4.86,-491.01,2569178.22,0.0,2691445.96
46,20130814,-0.04,4.8,-7685.16,2576863.3800000004,0.0,2665887.79
47,20130815,-0.075,4.74,-14699.31,2591562.6900000004,0.0,2647238.82
48,20130816,-0.183,4.57,-36569.94,2628132.6300000004,0.0,2588807.15
49,20130819,-0.157,4.6,-31288.5,2659421.1300000004,0.0,2637042.1
50,20130820,-0.151,4.6,-29908.12,2689329.2500000005,0.0,2666904.08
51,20130821,-0.14,4.61,-27667.52,2716996.7700000005,0.0,2700326.64
52,20130822,-0.121,4.63,-24082.54,2741079.3100000005,0.0,2736087.37
53,20130823,-0.163,4.56,-32384.8,2773464.1100000003,0.0,2727054.96
54,20130826,-0.126,4.61,-24900.76,2798364.87,0.0,2781819.88
55,20130827,-0.101,4.64,-19957.42,2818322.29,0.0,2819849.85
56,20130828,-0.124,4.6,-24386.62,2842708.91,0.0,2819889.27
57,20130829,-0.108,4.62,-21257.77,2863966.68,0.0,2853374.9
58,20130830,-0.116,4.6,-23006.25,2886972.93,0.0,2863993.11
59,20130902,-0.111,4.6,-22086.0,2909058.93,0.0,2886045.03
60,20130903,-0.055,4.68,-10769.23,2919828.16,0.0,2946988.53
61,20130904,-0.064,4.66,-12587.27,2932415.43,0.0,2946960.29
62,20130905,-0.033,4.7,-6585.14,2939000.5700000003,0.0,2978828.27
63,20130906,-0.048,4.67,-9345.2,2948345.7700000005,0.0,2969142.19
64,20130909,-0.054,4.76,-10477.22,2958822.9900000007,0.0,3036823.26
65,20130910,-0.033,4.79,-6232.13,2965055.1200000006,0.0,3062182.39
66,20130911,0.259,4.84,51722.19,2965055.1200000006,51722.19,3042425.19
67,20130912,-0.044,4.77,-8591.18,2973646.3000000007,51722.19,3006997.35
68,20130913,-0.063,4.74,-12329.26,2985975.5600000005,51722.19,3000393.35
69,20130916,-0.061,4.74,-11855.25,2997830.8100000005,51722.19,3012228.29
70,20130917,-0.069,4.61,-13374.29,3011205.1000000006,51722.19,2942964.69
71,20130918,-0.059,4.62,-11555.25,3022760.3500000006,51722.19,2960884.01
72,20130923,-0.036,4.65,-6980.15,3029740.5000000005,51722.19,2987077.08
73,20130924,-0.078,4.58,-15577.34,3045317.8400000003,51722.19,2957661.55
74,20130925,-0.087,4.56,-17333.38,3062651.22,51722.19,2962051.68
75,20130926,-0.003,4.47,-452.01,3063103.23,51722.19,2904035.28
76,20130927,-0.125,4.49,-24701.72,3087804.95,51722.19,2941692.6
77,20130930,-0.095,4.53,-18578.41,3106383.3600000003,51722.19,2986449.17
78,20131008,-0.053,4.59,-10562.23,3116945.5900000003,51722.19,3036549.24
79,20131009,-0.051,4.59,-10103.22,3127048.8100000005,51722.19,3046634.4
80,20131010,-0.088,4.53,-17219.38,3144268.1900000004,51722.19,3024000.35
81,20131011,-0.052,4.58,-10081.22,3154349.4100000006,51722.19,3067441.75
82,20131014,-0.03,4.61,-5998.13,3160347.5400000005,51722.19,3093519.99
83,20131015,-0.094,4.66,-18645.4,3178992.9400000004,51722.19,3145689.29
84,20131016,0.224,4.49,44394.45,3178992.9400000004,96116.64,2986535.48
85,20131017,0.243,4.53,48409.34,3178992.9400000004,144525.97999999998,2964732.83
86,20131018,0.306,4.63,61038.29,3178992.9400000004,205564.27,2969142.64
87,20131021,0.325,4.67,64830.47,3178992.9400000004,270394.74,2929964.06
88,20131022,0.329,4.69,65576.53,3178992.9400000004,335971.27,2876935.83
89,20131023,0.298,4.66,59106.75,3178992.9400000004,395078.02,2799426.11
90,20131024,0.308,4.69,61360.89,3178992.9400000004,456438.91000000003,2756087.67
91,20131025,0.305,4.7,60552.92,3178992.9400000004,516991.83,2701411.39
92,20131028,0.354,4.77,70506.28,3178992.9400000004,587498.11,2671139.76
93,20131029,0.324,4.73,64246.23,3178992.9400000004,651744.34,2584493.56
94,20131030,0.409,4.85,81376.47,3178992.9400000004,733120.8099999999,2568687.03
95,20131031,0.262,4.65,52013.78,3178992.9400000004,785134.59,2410745.82
96,20131101,0.153,4.5,30561.07,3178992.9400000004,815695.6599999999,2302417.08
97,20131104,0.174,4.53,34384.21,3178992.9400000004,850079.8699999999,2283382.67
98,20131105,0.136,4.48,26845.8,3178992.9400000004,876925.6699999999,2231333.41
99,20131106,0.114,4.45,22666.12,3178992.9400000004,899591.7899999999,2193724.99
100,20131107,-0.001,4.41,-0.0,3178992.9400000004,899591.7899999999,2174005.67
101,20131108,-0.048,4.3,-9465.22,3188458.1600000006,899591.7899999999,2129225.5
102,20131111,-0.018,4.34,-3477.08,3191935.2400000007,899591.7899999999,2152500.28
103,20131112,-0.003,4.36,-441.01,3192376.2500000005,899591.7899999999,2162855.31
104,20131113,-0.01,4.27,-1713.04,3194089.2900000005,899591.7899999999,2119914.02
105,20131114,-0.015,4.26,-2987.07,3197076.3600000003,899591.7899999999,2117927.44
106,20131115,-0.044,4.3,-8605.2,3205681.5600000005,899591.7899999999,2146403.6
107,20131118,-0.026,4.37,-4812.11,3210493.6700000004,899591.7899999999,2186146.74
108,20131119,-0.006,4.35,-875.02,3211368.6900000004,899591.7899999999,2177010.16
109,20131120,-0.02,4.38,-3947.09,3215315.7800000003,899591.7899999999,2195961.35
110,20131121,-0.028,4.37,-5249.12,3220564.9000000004,899591.7899999999,2196184.95
111,20131122,0.117,4.43,23006.69,3220564.9000000004,922598.4799999999,2203332.53
112,20131125,-0.015,4.39,-2639.06,3223203.9600000004,922598.4799999999,2186068.07
113,20131126,-0.036,4.32,-6917.16,3230121.1200000006,922598.4799999999,2158112.9
114,20131127,-0.03,4.33,-5634.13,3235755.2500000005,922598.4799999999,2168730.48
115,20131128,-0.025,4.38,-4823.11,3240578.3600000003,922598.4799999999,2198586.01
116,20131129,-0.019,4.39,-3517.08,3244095.4400000004,922598.4799999999,2207113.25
117,20131202,-0.071,4.28,-14129.33,3258224.7700000005,922598.4799999999,2165914.49
118,20131203,-0.043,4.32,-8213.19,3266437.9600000004,922598.4799999999,2194354.7
119,20131204,-0.015,4.36,-2621.06,3269059.0200000005,922598.4799999999,2217285.94
120,20131205,-0.016,4.4,-3085.07,3272144.0900000003,922598.4799999999,2240704.56
121,20131206,-0.011,4.37,-2190.05,3274334.14,922598.4799999999,2227608.9
122,20131209,-0.034,4.34,-6515.15,3280849.29,922598.4799999999,2218817.75
123,20131210,-0.035,4.34,-6949.16,3287798.45,922598.4799999999,2225752.91
124,20131211,-0.071,4.29,-14162.33,3301960.7800000003,922598.4799999999,2214248.98
125,20131212,-0.071,4.29,-14162.33,3316123.1100000003,922598.4799999999,2228387.95
126,20131213,-0.063,4.3,-12475.29,3328598.4000000004,922598.4799999999,2246036.58
127,20131216,-0.105,4.24,-20781.68,3349380.0800000005,922598.4799999999,2235445.34
128,20131217,-0.022,4.2,-4205.1,3353585.1800000006,922598.4799999999,2218550.38
129,20131218,-0.013,4.21,-2531.06,3356116.2400000007,922598.4799999999,2226355.56
130,20131219,-0.032,4.18,-6275.15,3362391.3900000006,922598.4799999999,2216752.42
