,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20180209,-0.034,8.29,-6637.08,6637.08,0.0,6620.29
1,20180212,-0.031,8.32,-5829.07,12466.15,0.0,12462.37
2,20180213,-0.023,8.39,-4200.05,16666.2,0.0,16758.02
3,20180214,-0.02,8.42,-3373.04,20039.24,0.0,20182.5
4,20180222,-0.007,8.55,-860.01,20899.25,0.0,21348.03
5,20180223,-0.001,8.79,-0.0,20899.25,0.0,21947.28
6,20180226,-0.003,8.77,-0.0,20899.25,0.0,21897.34
7,20180227,-0.003,8.59,-0.0,20899.25,0.0,21447.91
8,20180228,-0.013,8.49,-2552.03,23451.28,0.0,23742.01
9,20180301,-0.011,8.5,-1705.02,25156.3,0.0,25467.83
10,20180302,-0.018,8.43,-3377.04,28533.34,0.0,28625.83
11,20180305,-0.018,8.43,-3377.04,31910.38,0.0,31993.58
12,20180306,-0.011,8.5,-1705.02,33615.4,0.0,33957.1
13,20180307,-0.015,8.46,-2543.03,36158.43,0.0,36332.1
14,20180308,-0.012,8.49,-1703.02,37861.45,0.0,38156.79
15,20180309,-0.01,8.51,-1707.02,39568.469999999994,0.0,39946.53
16,20180312,-0.011,8.5,-1705.02,41273.48999999999,0.0,41597.45
17,20180313,-0.015,8.46,-2543.03,43816.51999999999,0.0,43936.49
18,20180314,-0.023,8.38,-4195.05,48011.56999999999,0.0,47705.72
19,20180315,-0.025,8.36,-4185.05,52196.619999999995,0.0,51766.59
20,20180316,-0.03,8.31,-5822.07,58018.689999999995,0.0,57266.64
21,20180319,-0.032,8.29,-5808.07,63826.759999999995,0.0,62924.48
22,20180320,-0.031,8.3,-5815.07,69641.82999999999,0.0,68803.06
23,20180321,-0.031,8.29,-5808.07,75449.9,0.0,74515.84
24,20180322,-0.035,8.25,-6605.08,82054.98,0.0,80747.96
25,20180323,-0.063,7.98,-11975.15,94030.12999999999,0.0,90060.15
26,20180326,-0.064,7.96,-12741.16,106771.29,0.0,102554.36
27,20180327,-0.06,8.0,-12005.15,118776.43999999999,0.0,115054.56
28,20180328,-0.06,7.99,-11990.15,130766.58999999998,0.0,126880.61
