,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20041014,-0.088,4.31,-17245.4,17245.4,0.0,17217.36
1,20041015,-0.139,4.24,-27567.54,44812.94,0.0,44463.3
2,20041018,-0.047,4.35,-9140.21,53953.15,0.0,54740.23
3,20041019,-0.08,4.3,-15915.37,69868.52,0.0,70000.76
4,20041020,-0.187,4.3,-36990.11,106858.63,0.0,106933.67
5,20041021,-0.112,4.39,-22395.11,129253.74,0.0,131532.38
6,20041022,-0.312,4.59,-61981.84,191235.58000000002,0.0,199411.07
7,20041025,-0.026,4.49,-4944.11,196179.69,0.0,199999.22
8,20041026,-0.22,4.69,-43628.83,239808.52000000002,0.0,252469.62
9,20041027,-0.205,4.7,-40901.09,280709.61,0.0,293845.97
10,20041028,-0.258,4.62,-51295.93,332005.54,0.0,340061.01
11,20041029,-0.032,4.47,-6263.14,338268.68,0.0,335269.87
12,20041101,-0.057,4.43,-11080.25,349348.93,0.0,343330.53
13,20041102,-0.06,4.42,-11939.27,361288.2,0.0,354474.31
14,20041103,-0.286,4.55,-56890.47,418178.67000000004,0.0,421702.92
15,20041104,-0.039,4.44,-7553.17,425731.84,0.0,419046.08
16,20041105,-0.05,4.42,-9729.22,435461.06,0.0,426870.06
17,20041108,-0.046,4.42,-8845.2,444306.26,0.0,435698.81
18,20041109,-0.019,4.45,-3565.08,447871.34,0.0,442211.58
19,20041110,-0.153,4.67,-30363.24,478234.58,0.0,494390.63
20,20041111,-0.137,4.68,-27151.37,505385.95,0.0,522558.79
21,20041112,-0.144,4.66,-28433.72,533819.67,0.0,548715.44
22,20041115,-0.12,4.68,-23874.48,557694.15,0.0,574908.15
23,20041116,-0.133,4.65,-26512.2,584206.35,0.0,597694.06
24,20041117,-0.161,4.6,-32208.75,616415.1,0.0,623426.16
25,20041118,-0.137,4.62,-27265.4,643680.5,0.0,653360.1
26,20041119,-0.144,4.6,-28527.75,672208.25,0.0,679015.37
27,20041122,-0.063,4.7,-12225.26,684433.51,0.0,705981.36
28,20041123,-0.094,4.65,-18605.4,703038.91,0.0,717047.11
29,20041124,-0.124,4.6,-24386.62,727425.53,0.0,733685.76
30,20041125,-0.087,4.64,-17173.37,744598.9,0.0,757211.94
31,20041126,-0.095,4.62,-18947.41,763546.31,0.0,772865.94
32,20041129,-0.116,4.58,-22906.23,786452.54,0.0,789045.19
33,20041130,-0.056,4.65,-11165.24,797617.78,0.0,812250.9
34,20041201,-0.049,4.65,-9770.21,807387.99,0.0,822003.49
35,20041202,-0.013,4.69,-2350.05,809738.04,0.0,831416.66
36,20041203,-0.446,4.76,-89036.12,898774.16,0.0,932724.99
37,20041206,-0.45,4.75,-89799.33,988573.49,0.0,1020426.33
38,20041207,-0.015,4.55,-2735.06,991308.55,0.0,980186.64
39,20041208,-0.025,4.54,-4999.11,996307.66,0.0,983019.98
40,20041209,-0.052,4.6,-10125.22,1006432.88,0.0,1006118.85
41,20041210,-0.001,4.58,-0.0,1006432.88,0.0,1001744.32
42,20041213,-0.047,4.59,-9185.2,1015618.08,0.0,1013099.91
43,20041214,-0.115,4.44,-22650.17,1038268.25,0.0,1002606.54
44,20041215,-0.223,4.3,-44302.1,1082570.35,0.0,1015225.71
45,20041216,-0.291,4.21,-58113.9,1140684.25,0.0,1052000.3
46,20041217,-0.288,4.21,-57271.67,1197955.92,0.0,1109183.37
47,20041220,-0.328,4.15,-65587.97,1263543.89,0.0,1158861.61
48,20041221,-0.27,4.22,-53608.67,1317152.5599999998,0.0,1231934.89
49,20041222,-0.225,4.27,-44847.26,1361999.8199999998,0.0,1291309.52
50,20041223,-0.288,4.18,-57281.69,1419281.5099999998,0.0,1321284.64
51,20041224,-0.294,4.16,-58672.07,1477953.5799999998,0.0,1373543.82
52,20041227,-0.262,4.19,-52389.34,1530342.92,0.0,1435757.7
53,20041228,-0.233,4.22,-46432.71,1576775.63,0.0,1492398.71
54,20041229,-0.265,4.17,-52973.51,1629749.14,0.0,1527607.38
55,20041230,-0.274,4.15,-54795.02,1684544.16,0.0,1574990.75
56,20041231,-0.311,4.09,-62185.06,1746729.22,0.0,1614308.02
57,20050104,-0.349,4.03,-69738.16,1816467.38,0.0,1660255.78
58,20050105,-0.316,4.06,-62947.28,1879414.66,0.0,1735465.1
59,20050106,-0.315,4.05,-62792.24,1942206.9,0.0,1793885.43
60,20050107,-0.315,4.04,-62637.21,2004844.1099999999,0.0,1851996.15
61,20050110,-0.308,4.04,-61424.87,2066268.98,0.0,1913325.87
62,20050111,-0.303,4.04,-60616.65,2126885.63,0.0,1973848.62
63,20050112,-0.277,4.07,-55367.2,2182252.83,0.0,2043787.73
64,20050113,-0.309,4.02,-61522.91,2243775.74,0.0,2080106.74
65,20050114,-0.311,4.01,-62172.09,2305947.83,0.0,2137007.97
66,20050117,-0.412,3.87,-82066.63,2388014.46,0.0,2144336.68
