,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20171013,-0.071,8.24,-14013.17,14013.17,0.0,13988.82
1,20171016,-0.198,7.95,-38965.23,52978.4,0.0,52403.75
2,20171017,-0.189,7.95,-37374.81,90353.20999999999,0.0,89721.58
3,20171018,-0.247,7.81,-49215.93,139569.13999999998,0.0,137282.42
4,20171019,-0.375,7.52,-74467.6,214036.74,0.0,206538.75
5,20171020,-0.329,7.6,-65377.2,279413.94,0.0,274013.44
6,20171023,-0.299,7.65,-59685.7,339099.64,0.0,335410.82
7,20171024,-0.289,7.66,-57465.11,396564.75,0.0,393226.71
8,20171025,-0.261,7.71,-51670.58,448235.33,0.0,447385.25
9,20171026,-0.251,7.72,-50193.2,498428.53,0.0,498082.15
10,20171027,-0.294,7.62,-58689.44,557117.97,0.0,550230.11
11,20171030,-0.47,7.23,-94014.8,651132.77,0.0,615939.57
12,20171031,-0.454,7.25,-90648.91,741781.68,0.0,708153.91
13,20171101,-0.447,7.25,-89198.52,830980.2000000001,0.0,797216.21
14,20171102,-0.496,7.12,-98994.13,929974.3300000001,0.0,881764.0
15,20171103,-0.48,7.13,-95567.23,1025541.56,0.0,978423.68
16,20171106,-0.431,7.21,-85821.64,1111363.2,0.0,1075092.5
17,20171107,-0.426,7.2,-84982.42,1196345.6199999999,0.0,1158453.99
18,20171108,-0.396,7.24,-78936.82,1275282.44,0.0,1243706.2
19,20171109,-0.348,7.32,-69558.34,1344840.78,0.0,1326901.13
20,20171110,-0.399,7.19,-79110.87,1423951.65,0.0,1382325.66
21,20171113,-0.45,7.06,-89685.69,1513637.3399999999,0.0,1446880.59
22,20171114,-0.394,7.16,-78780.79,1592418.13,0.0,1546035.39
23,20171115,-0.417,7.09,-82974.91,1675393.0399999998,0.0,1613768.45
24,20171116,-0.42,7.06,-83330.01,1758723.0499999998,0.0,1690142.68
25,20171117,-0.494,6.88,-98410.03,1857133.0799999998,0.0,1745310.2
26,20171120,-0.477,6.89,-95107.15,1952240.2299999997,0.0,1842808.79
27,20171121,-0.469,6.88,-93592.75,2045832.9799999997,0.0,1933583.82
28,20171122,-0.368,7.07,-73547.42,2119380.4,0.0,2060418.04
29,20171123,-0.395,6.99,-79007.88,2198388.28,0.0,2115990.35
30,20171124,-0.333,7.1,-66047.44,2264435.7199999997,0.0,2215236.21
31,20171127,-0.3,7.15,-59360.67,2323796.3899999997,0.0,2290106.67
32,20171128,-0.253,7.23,-49900.16,2373696.55,0.0,2365554.56
