,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20130408,-0.034,5.37,-6449.12,6449.12,0.0,6432.44
1,20130409,-0.26,5.45,-51788.89,58238.01,0.0,58241.04
2,20130410,-0.258,5.46,-51337.77,109575.78,0.0,109606.81
3,20130411,-0.018,5.4,-3245.06,112820.84,0.0,111638.21
4,20130412,-0.078,5.3,-15375.29,128196.13,0.0,124921.29
5,20130415,-0.131,5.21,-26057.01,154253.14,0.0,148816.88
6,20130416,-0.094,5.27,-18450.35,172703.49000000002,0.0,168952.33
7,20130417,-0.105,5.25,-21005.65,193709.14,0.0,189284.48
8,20130418,-0.105,5.25,-21005.65,214714.79,0.0,210257.83
9,20130419,-0.008,5.41,-1087.02,215801.81,0.0,217746.44
10,20130422,-0.228,5.48,-45496.2,261298.01,0.0,265990.23
11,20130423,-0.075,5.3,-14845.28,276143.29000000004,0.0,272074.34
12,20130424,-0.102,5.41,-20022.37,296165.66000000003,0.0,297712.88
13,20130425,-0.125,5.37,-24708.64,320874.30000000005,0.0,320182.29
14,20130426,-0.118,5.38,-23140.21,344014.51000000007,0.0,343883.2
15,20130502,-0.157,5.31,-31337.42,375351.93000000005,0.0,370698.05
16,20130503,-0.108,5.39,-21565.79,396917.72000000003,0.0,397815.71
17,20130506,-0.061,5.47,-12039.22,408956.94,0.0,415739.06
18,20130507,-0.05,5.49,-9887.18,418844.12,0.0,427128.62
19,20130508,-0.105,5.71,-20561.5,439405.62,0.0,464775.14
20,20130509,-0.111,5.68,-22157.93,461563.55,0.0,484457.12
21,20130510,-0.109,5.67,-21551.77,483115.32,0.0,505122.88
22,20130513,-0.096,5.68,-18749.33,501864.65,0.0,524734.0
23,20130514,-0.018,5.55,-3335.06,505199.71,0.0,516049.81
24,20130515,-0.012,5.56,-2229.04,507428.75,0.0,519200.82
25,20130516,-0.122,5.6,-24086.45,531515.2,0.0,546985.62
26,20130517,-0.074,5.67,-14747.26,546262.46,0.0,568546.38
27,20130520,-0.07,5.81,-13949.24,560211.7,0.0,596511.14
28,20130521,-0.062,5.82,-12227.21,572438.9099999999,0.0,609744.36
29,20130522,-0.084,5.78,-16767.29,589206.2,0.0,622294.36
30,20130523,-0.053,5.67,-10211.18,599417.38,0.0,620644.25
31,20130524,-0.097,5.75,-18980.33,618397.71,0.0,648352.24
32,20130527,-0.007,5.73,-1151.02,619548.73,0.0,647241.61
33,20130528,-0.069,5.79,-13322.23,632870.96,0.0,667319.25
34,20130529,-0.056,5.81,-11044.19,643915.1499999999,0.0,680649.38
35,20130530,-0.089,5.75,-17255.3,661170.45,0.0,690848.31
36,20130531,-0.075,5.77,-14430.25,675600.7,0.0,707658.03
37,20130603,-0.061,5.79,-12164.21,687764.9099999999,0.0,722254.55
38,20130604,-0.098,5.72,-19453.34,707218.2499999999,0.0,732945.83
39,20130605,-0.094,5.72,-18309.32,725527.5699999998,0.0,751226.62
40,20130606,-0.041,5.61,-7859.14,733386.7099999998,0.0,744623.75
41,20130607,-0.105,5.51,-20943.61,754330.3199999998,0.0,752261.81
42,20130613,-0.164,5.4,-32408.7,786739.0199999998,0.0,769602.51
43,20130614,-0.116,5.47,-22980.16,809719.1799999998,0.0,802523.88
44,20130617,-0.051,5.57,-10031.18,819750.3599999999,0.0,827208.81
45,20130618,-0.048,5.57,-9474.17,829224.5299999999,0.0,836665.8
46,20130619,-0.01,5.63,-1694.03,830918.5599999999,0.0,847365.38
47,20130620,-0.065,5.53,-12724.23,843642.7899999999,0.0,845017.09
48,20130621,-0.132,5.41,-25974.97,869617.7599999999,0.0,852615.1
49,20130624,-0.433,4.89,-86576.41,956194.1699999999,0.0,857104.71
50,20130625,-0.495,4.77,-98765.75,1054959.92,0.0,934684.54
51,20130626,-0.472,4.79,-94388.56,1149348.48,0.0,1032846.71
52,20130627,-0.571,4.6,-114111.0,1263459.48,0.0,1105811.91
53,20130628,-0.616,4.5,-122883.44,1386342.92,0.0,1204465.7
54,20130701,-0.566,4.56,-113118.75,1499461.67,0.0,1333469.76
55,20130702,-0.536,4.59,-106976.07,1606437.74,0.0,1449053.77
56,20130703,-0.571,4.51,-114134.06,1720571.8,0.0,1537755.22
57,20130704,-0.53,4.56,-105820.77,1826392.57,0.0,1660461.32
58,20130705,-0.508,4.58,-101245.51,1927638.08,0.0,1768833.47
59,20130708,-0.632,4.35,-126184.44,2053822.52,0.0,1805993.06
60,20130709,-0.602,4.38,-120044.74,2173867.2600000002,0.0,1938307.72
61,20130710,-0.508,4.52,-101275.55,2275142.81,0.0,2101383.38
62,20130711,-0.411,4.67,-82214.31,2357357.12,0.0,2253208.59
63,20130712,-0.472,4.55,-94210.62,2451567.74,0.0,2289374.26
64,20130715,-0.426,4.61,-84847.05,2536414.79,0.0,2404280.6
65,20130716,-0.402,4.5,-80121.81,2616536.6,0.0,2426908.5
66,20130717,-0.334,4.6,-66718.12,2683254.72,0.0,2547456.17
67,20130718,-0.334,4.59,-66573.09,2749827.81,0.0,2608388.46
68,20130719,-0.418,4.44,-83494.75,2833322.56,0.0,2606510.93
69,20130722,-0.398,4.46,-79409.63,2912732.19,0.0,2697539.22
70,20130723,-0.245,4.7,-48893.26,2961625.4499999997,0.0,2891519.4
71,20130724,-0.251,4.68,-50089.59,3011715.0399999996,0.0,2929227.14
72,20130725,-0.134,4.86,-26737.23,3038452.2699999996,0.0,3068588.17
73,20130726,-0.063,4.97,-12430.25,3050882.5199999996,0.0,3150452.46
74,20130729,-0.031,5.02,-6029.12,3056911.6399999997,0.0,3188164.14
75,20130730,-0.059,4.97,-11436.23,3068347.8699999996,0.0,3167825.36
76,20130731,-0.201,4.73,-39742.77,3108090.6399999997,0.0,3054530.32
77,20130801,-0.179,4.76,-35709.68,3143800.32,0.0,3109558.69
78,20130802,-0.204,4.71,-40516.99,3184317.31,0.0,3117349.08
79,20130805,-0.125,4.73,-24602.67,3208919.98,0.0,3155151.25
80,20130806,-0.117,4.73,-23183.28,3232103.26,0.0,3178298.79
81,20130807,-0.037,4.84,-7265.15,3239368.4099999997,0.0,3259465.05
82,20130808,-0.098,4.74,-19439.41,3258807.82,0.0,3211528.64
83,20130809,-0.126,4.69,-24863.74,3283671.56,0.0,3202476.44
84,20130812,-0.054,4.79,-10543.22,3294214.7800000003,0.0,3281285.58
85,20130813,-0.004,4.86,-491.01,3294705.79,0.0,3329723.95
86,20130814,-0.04,4.8,-7685.16,3302390.95,0.0,3296285.64
87,20130815,-0.075,4.74,-14699.31,3317090.2600000002,0.0,3269756.53
88,20130816,-0.183,4.57,-36569.94,3353660.2,0.0,3188997.81
89,20130819,-0.157,4.6,-31288.5,3384948.7,0.0,3241172.82
90,20130820,-0.151,4.6,-29908.12,3414856.8200000003,0.0,3271034.8
91,20130821,-0.14,4.61,-27667.52,3442524.3400000003,0.0,3305770.73
92,20130822,-0.121,4.63,-24082.54,3466606.8800000004,0.0,3344158.16
93,20130823,-0.163,4.56,-32384.8,3498991.68,0.0,3325932.26
94,20130826,-0.126,4.61,-24900.76,3523892.44,0.0,3387263.96
95,20130827,-0.101,4.64,-19957.42,3543849.86,0.0,3429234.0
96,20130828,-0.124,4.6,-24386.62,3568236.48,0.0,3424019.99
97,20130829,-0.108,4.62,-21257.77,3589494.25,0.0,3460132.34
98,20130830,-0.116,4.6,-23006.25,3612500.5,0.0,3468123.83
99,20130902,-0.111,4.6,-22086.0,3634586.5,0.0,3490175.75
100,20130903,-0.055,4.68,-10769.23,3645355.73,0.0,3561626.1
101,20130904,-0.064,4.66,-12587.27,3657943.0,0.0,3558971.15
102,20130905,-0.033,4.7,-6585.14,3664528.14,0.0,3596092.55
