,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20130827,-0.001,3.9,-0.0,0.0,0.0,0.0
1,20130828,-0.007,3.88,-1169.03,1169.03,0.0,1157.81
2,20130829,-0.01,3.87,-1940.05,3109.08,0.0,3087.82
3,20130830,-0.064,3.9,-12485.32,15594.4,0.0,15579.0
4,20130902,-0.066,3.89,-12842.33,28436.73,0.0,28360.77
5,20130903,-0.05,3.94,-9855.25,38291.979999999996,0.0,38562.75
6,20130904,-0.052,3.93,-10223.26,48515.24,0.0,48669.85
7,20130905,-0.057,3.91,-11344.29,59859.53,0.0,59746.69
8,20130906,-0.057,3.91,-11344.29,71203.82,0.0,71071.23
9,20130909,-0.005,4.08,-821.02,72024.84000000001,0.0,74976.32
10,20130910,-0.035,3.98,-6771.17,78796.01000000001,0.0,79895.99
11,20130911,-0.032,3.99,-6389.16,85185.17000000001,0.0,86472.6
12,20130912,-0.013,4.05,-2435.06,87620.23000000001,0.0,90199.88
13,20130913,-0.031,3.99,-5990.15,93610.38,0.0,94840.92
14,20130916,-0.034,3.98,-6771.17,100381.55,0.0,101360.59
15,20130917,-0.049,3.93,-9437.24,109818.79000000001,0.0,109507.15
16,20130918,-0.056,3.91,-10953.28,120772.07,0.0,119883.88
17,20130923,-0.056,3.91,-10953.28,131725.35,0.0,130817.92
18,20130924,-0.062,3.89,-12064.31,143789.66,0.0,142192.37
19,20130925,-0.064,3.88,-12421.32,156210.98,0.0,154226.99
20,20130926,-0.071,3.85,-13865.36,170076.34000000003,0.0,166876.8
21,20130927,-0.066,3.86,-13129.34,183205.68000000002,0.0,180417.51
22,20130930,-0.064,3.86,-12743.33,195949.01,0.0,193139.26
23,20131008,-0.06,3.87,-12002.31,207951.32,0.0,205621.33
24,20131009,-0.062,3.86,-12357.32,220308.64,0.0,217426.23
25,20131010,-0.06,3.86,-11971.31,232279.95,0.0,229376.96
26,20131011,-0.05,3.89,-9730.25,242010.2,0.0,240872.32
