,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20161025,-0.005,9.36,-941.01,941.01,0.0,930.05
1,20161026,-0.009,9.28,-933.01,1874.02,0.0,1849.12
2,20161027,-0.01,9.27,-1859.02,3733.04,0.0,3699.25
3,20161028,-0.004,9.31,-0.0,3733.04,0.0,3715.24
4,20161031,-0.053,9.2,-10125.11,13858.150000000001,0.0,13781.05
5,20161101,-0.051,9.21,-10136.11,23994.260000000002,0.0,23915.81
6,20161102,-0.055,9.16,-10997.12,34991.380000000005,0.0,34764.11
7,20161103,-0.052,9.19,-10114.11,45105.490000000005,0.0,44974.22
8,20161104,-0.054,9.16,-10081.11,55186.600000000006,0.0,54890.7
9,20161107,-0.054,9.16,-10081.11,65267.71000000001,0.0,64954.0
10,20161108,-0.052,9.17,-10092.11,75359.82,0.0,75099.19
11,20161109,-0.058,9.11,-10937.12,86296.94,0.0,85526.02
12,20161110,-0.052,9.16,-10081.11,96378.05,0.0,96058.73
13,20161111,-0.047,9.2,-9205.1,105583.15000000001,0.0,105666.6
14,20161114,-0.044,9.22,-8303.09,113886.24,0.0,114183.85
15,20161115,-0.044,9.21,-8294.09,122180.33,0.0,122338.55
16,20161116,-0.045,9.19,-8276.09,130456.42,0.0,130333.46
17,20161117,-0.042,9.2,-8285.09,138741.51,0.0,138744.84
18,20161118,-0.04,9.2,-7365.08,146106.59,0.0,146095.56
19,20161121,-0.029,9.28,-5573.06,151679.65,0.0,152926.95
20,20161122,-0.024,9.31,-4660.05,156339.69999999998,0.0,158070.46
21,20161123,-0.016,9.37,-2816.03,159155.72999999998,0.0,161896.64
22,20161124,-0.018,9.35,-2810.03,161965.75999999998,0.0,164352.54
23,20161125,-0.01,9.41,-1887.02,163852.77999999997,0.0,167286.85
24,20161128,-0.01,9.4,-1885.02,165737.79999999996,0.0,168986.7
25,20161129,-0.001,9.47,-0.0,165737.79999999996,0.0,170245.13
26,20161130,-0.012,9.5,-1905.02,167642.81999999995,0.0,172682.05
27,20161201,-0.004,9.43,-0.0,167642.81999999995,0.0,171409.65
28,20161202,-0.003,9.43,-0.0,167642.81999999995,0.0,171409.65
29,20161205,-0.003,9.43,-0.0,167642.81999999995,0.0,171409.65
30,20161206,-0.004,9.42,-0.0,167642.81999999995,0.0,171227.88
31,20161207,-0.011,9.35,-1875.02,169517.83999999994,0.0,171823.11
32,20161208,-0.005,9.66,-971.01,170488.84999999995,0.0,178484.76
33,20161209,0.03,9.72,5821.11,170488.84999999995,5821.11,173768.73
34,20161212,0.032,9.74,5833.1,170488.84999999995,11654.21,168289.64
35,20161213,-0.004,9.67,-0.0,170488.84999999995,11654.21,167080.16
36,20161214,0.044,9.85,7867.04,170488.84999999995,19521.25,162320.19
37,20161215,-0.012,9.51,-1907.02,172395.86999999994,19521.25,158616.81
38,20161216,-0.015,9.33,-2804.03,175199.89999999994,19521.25,158410.04
39,20161219,-0.022,9.26,-3709.04,178908.93999999994,19521.25,160920.86
40,20161220,-0.023,9.25,-3705.04,182613.97999999995,19521.25,164442.41
41,20161221,-0.023,9.24,-3701.04,186315.01999999996,19521.25,167955.97
42,20161222,-0.029,9.18,-5513.06,191828.07999999996,19521.25,172366.39
43,20161223,-0.031,9.16,-5501.06,197329.13999999996,19521.25,177479.93
44,20161226,-0.032,9.14,-6403.07,203732.20999999996,19521.25,183482.35
45,20161227,-0.037,9.09,-7277.08,211009.28999999995,19521.25,189741.43
46,20161228,-0.041,9.05,-8150.09,219159.37999999995,19521.25,197041.21
47,20161229,-0.038,9.06,-7253.08,226412.45999999993,19521.25,204497.79
48,20161230,-0.035,9.08,-6361.07,232773.52999999994,19521.25,211297.22
49,20170103,-0.031,9.11,-5471.06,238244.58999999994,19521.25,217454.45
50,20170104,-0.03,9.11,-5471.06,243715.64999999994,19521.25,222913.56
51,20170105,-0.033,9.08,-6361.07,250076.71999999994,19521.25,228527.46
52,20170106,-0.039,9.01,-7213.08,257289.79999999993,19521.25,233964.58
53,20170109,-0.037,9.02,-7221.08,264510.87999999995,19521.25,241431.15
54,20170110,-0.035,9.03,-6326.07,270836.94999999995,19521.25,248011.84
55,20170111,-0.039,8.99,-7197.08,278034.02999999997,19521.25,254096.15
56,20170112,-0.036,9.0,-7205.08,285239.11,19521.25,261569.71
57,20170113,-0.026,9.08,-4545.05,289784.16,19521.25,268429.08
58,20170116,-0.012,9.2,-1845.02,291629.18,19521.25,273814.32
59,20170117,-0.017,9.15,-2750.03,294379.21,19521.25,275067.72
60,20170118,-0.013,9.18,-1841.02,296220.23000000004,19521.25,277803.28
61,20170119,-0.012,9.18,-1841.02,298061.25000000006,19521.25,279636.96
62,20170120,-0.006,9.22,-927.01,298988.26000000007,19521.25,281776.28
63,20170123,-0.006,9.22,-927.01,299915.2700000001,19521.25,282697.11
64,20170124,-0.025,9.27,-4640.05,304555.32000000007,19521.25,288859.35
65,20170125,-0.004,9.22,-0.0,304555.32000000007,19521.25,287301.3
66,20170126,-0.001,9.25,-0.0,304555.32000000007,19521.25,288236.13
67,20170203,-0.01,9.17,-1839.02,306394.3400000001,19521.25,287574.94
68,20170206,-0.011,9.16,-1837.02,308231.3600000001,19521.25,289091.02
69,20170207,-0.013,9.14,-1833.02,310064.3800000001,19521.25,290285.51
70,20170208,-0.016,9.12,-2741.03,312805.41000000015,19521.25,292382.85
71,20170209,-0.015,9.12,-2741.03,315546.4400000002,19521.25,295115.4
72,20170210,-0.016,9.11,-2738.03,318284.4700000002,19521.25,297521.36
73,20170213,-0.013,9.14,-1833.02,320117.4900000002,19521.25,300326.83
74,20170214,-0.018,9.1,-2735.03,322852.52000000025,19521.25,301739.03
75,20170215,-0.012,9.15,-1835.02,324687.54000000027,19521.25,305224.65
76,20170216,-0.015,9.12,-2741.03,327428.5700000003,19521.25,306956.45
77,20170217,-0.025,9.03,-4520.05,331948.6200000003,19521.25,308436.55
78,20170220,-0.012,9.14,-1833.02,333781.6400000003,19521.25,314019.54
79,20170221,-0.013,9.13,-1831.02,335612.6600000003,19521.25,315499.67
80,20170222,-0.018,9.09,-2732.03,338344.69000000035,19521.25,316840.96
81,20170223,-0.018,9.08,-2729.03,341073.7200000004,19521.25,319212.96
82,20170224,-0.019,9.07,-3633.04,344706.76000000036,19521.25,322484.83
83,20170227,-0.022,9.04,-3621.04,348327.80000000034,19521.25,325029.6
84,20170228,-0.022,9.03,-3617.04,351944.8400000003,19521.25,328277.49
85,20170301,-0.021,9.04,-3621.04,355565.8800000003,19521.25,332252.48
86,20170302,-0.028,8.97,-5387.06,360952.9400000003,19521.25,335054.91
87,20170303,-0.027,8.97,-5387.06,366340.0000000003,19521.25,340430.12
88,20170306,-0.027,8.96,-5381.06,371721.0600000003,19521.25,345419.82
89,20170307,-0.025,8.97,-4490.05,376211.1100000003,19521.25,350284.68
90,20170308,-0.03,8.92,-5357.06,381568.1700000003,19521.25,353677.38
91,20170309,-0.034,8.87,-6214.07,387782.2400000003,19521.25,357896.02
92,20170310,-0.037,8.84,-7077.08,394859.3200000003,19521.25,363748.62
93,20170313,-0.034,8.86,-6207.07,401066.3900000003,19521.25,370765.77
94,20170314,-0.034,8.84,-6193.07,407259.4600000003,19521.25,376109.01
95,20170315,-0.03,8.86,-5321.06,412580.5200000003,19521.25,382269.24
96,20170316,-0.027,8.88,-5333.06,417913.5800000003,19521.25,388453.44
97,20170317,-0.033,8.81,-6172.07,424085.6500000003,19521.25,391550.49
98,20170320,-0.042,8.71,-7844.09,431929.74000000034,19521.25,394935.17
99,20170321,-0.045,8.67,-8675.1,440604.8400000003,19521.25,401780.5
100,20170322,-0.057,8.55,-11120.13,451724.9700000003,19521.25,407320.44
101,20170323,-0.052,8.59,-10313.12,462038.0900000003,19521.25,419521.05
102,20170324,-0.049,8.6,-9465.11,471503.2000000003,19521.25,429457.5
103,20170327,-0.047,8.61,-8615.1,480118.3000000003,19521.25,438556.01
104,20170328,-0.053,8.55,-10265.12,490383.4200000003,19521.25,445746.89
105,20170329,-0.055,8.52,-10229.12,500612.54000000027,19521.25,454393.95
106,20170330,-0.061,8.46,-11849.14,512461.6800000003,19521.25,463023.01
107,20170331,-0.075,8.48,-14421.17,526882.8500000003,19521.25,478515.45
108,20170405,-0.07,8.51,-13621.16,540504.0100000004,19521.25,493807.15
109,20170406,-0.071,8.49,-13589.16,554093.1700000004,19521.25,506213.46
110,20170407,-0.068,8.5,-13605.16,567698.3300000004,19521.25,520392.56
111,20170410,-0.075,8.43,-14336.17,582034.5000000005,19521.25,530419.84
112,20170411,-0.075,8.41,-14302.17,596336.6700000005,19521.25,543440.37
113,20170412,-0.078,8.37,-15071.18,611407.8500000006,19521.25,555902.59
114,20170413,-0.081,8.33,-15832.19,627240.0400000005,19521.25,569052.95
115,20170414,-0.094,8.2,-18045.22,645285.2600000005,19521.25,578189.29
116,20170417,-0.089,8.23,-17288.21,662573.4700000004,19521.25,597565.83
117,20170418,-0.106,8.06,-20961.5,683534.9700000004,19521.25,606151.82
118,20170419,-0.117,7.94,-23032.05,706567.0200000005,19521.25,620124.05
119,20170420,-0.125,7.84,-24310.39,730877.4100000005,19521.25,636587.13
120,20170421,-0.116,7.9,-22916.02,753793.4300000005,19521.25,664340.1
121,20170424,-0.121,7.83,-23496.17,777289.6000000006,19521.25,681913.81
122,20170425,-0.117,7.84,-22741.97,800031.5700000005,19521.25,705492.01
123,20170426,-0.129,7.71,-25449.69,825481.2600000005,19521.25,719204.52
124,20170427,-0.144,7.87,-28339.44,853820.7000000004,19521.25,762426.06
125,20170428,-0.141,7.87,-27552.24,881372.9400000004,19521.25,789936.28
126,20170502,-0.138,7.86,-27517.23,908890.1700000004,19521.25,816407.8
127,20170503,-0.144,7.78,-28793.57,937683.7400000003,19521.25,836847.85
128,20170504,-0.147,7.71,-29305.7,966989.4400000003,19521.25,858579.27
