trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb61,min1,min2,min3,max1,max2,max3,close,pb1,maxdif
20060320,4.7408,3.9896,3.6797,3.4413,3.0738,2.7197,2.3633,2.2491,2.1892,2.181,2.181,2.1892,2.2491,4.7408,3.9896,3.6797,5.14,2.5156,-2.2252
20060321,4.7277,3.9869,3.676,3.4387,3.0698,2.7124,2.3623,2.2503,2.1883,2.1912,2.1883,2.1912,2.2503,4.7277,3.9869,3.676,5.17,2.5302,-2.1975
20060322,4.715,3.9843,3.6722,3.4362,3.0658,2.7053,2.3613,2.251,2.1871,2.2002,2.1871,2.2002,2.251,4.715,3.9843,3.6722,5.2,2.5449,-2.1700999999999997
20060323,4.7024,3.9817,3.6686,3.4336,3.0618,2.6981,2.3604,2.252,2.1858,2.2096,2.1858,2.2096,2.252,4.7024,3.9817,3.6686,5.15,2.5204,-2.182
20060324,4.69,3.9789,3.6651,3.4311,3.0576,2.6911,2.3594,2.2522,2.185,2.2183,2.185,2.2183,2.2522,4.69,3.9789,3.6651,5.09,2.4911,-2.1989000000000005
20060327,4.678,3.9762,3.6613,3.4285,3.0534,2.6842,2.3582,2.2522,2.1836,2.2259,2.1836,2.2259,2.2522,4.678,3.9762,3.6613,5.18,2.5351,-2.1429
20060328,4.666,3.9736,3.6576,3.426,3.0492,2.6776,2.357,2.2525,2.1831,2.2345,2.1831,2.2345,2.2525,4.666,3.9736,3.6576,5.21,2.5498,-2.1162000000000005
20060329,4.6541,3.971,3.6539,3.4234,3.0452,2.671,2.3559,2.2531,2.1825,2.2436,2.1825,2.2436,2.2531,4.6541,3.971,3.6539,5.31,2.5988,-2.0552999999999995
20060330,4.6423,3.9684,3.6502,3.4208,3.0411,2.6641,2.355,2.2535,2.1832,2.2535,2.1832,2.2535,2.2535,4.6423,3.9684,3.6502,5.31,2.5988,-2.0434999999999994
20060403,4.6304,3.9659,3.6461,3.4181,3.0371,2.6576,2.354,2.2537,2.1833,2.2627,2.1833,2.2537,2.2627,4.6304,3.9659,3.6461,5.56,2.6231,-2.0073
20060404,4.6184,3.9634,3.6423,3.4153,3.0331,2.6511,2.353,2.2541,2.1829,2.2723,2.1829,2.2541,2.2723,4.6184,3.9634,3.6423,5.61,2.6476,-1.9708
20060405,4.6064,3.961,3.6385,3.4127,3.0291,2.6448,2.352,2.2549,2.1829,2.2821,2.1829,2.2549,2.2821,4.6064,3.961,3.6385,5.65,2.6665,-1.9398999999999997
20060406,4.5946,3.9588,3.6347,3.41,3.0253,2.6384,2.3511,2.2558,2.1828,2.2919,2.1828,2.2558,2.2919,4.5946,3.9588,3.6347,5.52,2.6051,-1.9894999999999996
20060407,4.5829,3.9565,3.631,3.4071,3.0214,2.6324,2.3499,2.2567,2.1822,2.3015,2.1822,2.2567,2.3015,4.5829,3.9565,3.631,5.45,2.5721,-2.0108000000000006
20060410,4.5715,3.9542,3.6271,3.4043,3.0174,2.6265,2.3485,2.2575,2.1814,2.3109,2.1814,2.2575,2.3109,4.5715,3.9542,3.6271,5.65,2.6665,-1.9050000000000002
