,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20020821,-0.034,11.7,-5855.05,5855.05,0.0,5839.1
1,20020822,-0.222,11.88,-43967.36,49822.41,0.0,49833.21
2,20020823,-0.26,11.8,-51933.42,101755.83,0.0,101352.29
3,20020826,-0.04,11.7,-7025.06,108780.89,0.0,107504.53
4,20020827,-0.048,11.69,-9357.08,118137.97,0.0,116752.88
5,20020828,-0.067,11.66,-12831.11,130969.08,0.0,129263.11
6,20020829,-0.029,11.75,-4705.04,135674.12,0.0,134954.94
7,20020830,-0.04,11.74,-7049.06,142723.18,0.0,141875.22
8,20020902,-0.149,11.67,-29182.54,171905.72,0.0,170167.56
9,20020903,-0.135,11.7,-26916.96,198822.68,0.0,197481.15
10,20020904,-0.186,11.6,-37129.6,235952.28,0.0,232866.54
11,20020905,-0.26,11.45,-51538.33,287490.61,0.0,281315.45
12,20020906,-0.303,11.36,-60223.58,347714.19,0.0,339236.43
13,20020909,-0.386,11.19,-76111.7,423825.89,0.0,410155.99
14,20020910,-0.425,11.11,-84457.87,508283.76,0.0,491553.35
15,20020911,-0.415,11.13,-82383.33,590667.09,0.0,574696.55
16,20020912,-0.391,11.18,-77161.98,667829.07,0.0,654323.21
17,20020913,-0.414,11.13,-82383.33,750212.3999999999,0.0,733655.18
18,20020916,-0.448,11.06,-89609.21,839821.6099999999,0.0,818514.16
19,20020917,-0.524,10.9,-104667.12,944488.7299999999,0.0,911181.22
20,20020918,-0.586,10.76,-116238.13,1060726.8599999999,0.0,1015539.53
21,20020919,-0.559,10.78,-111062.79,1171789.65,0.0,1128321.34
22,20020920,-0.519,10.83,-102911.67,1274701.3199999998,0.0,1236310.23
23,20020923,-0.571,10.7,-113449.41,1388150.7299999997,0.0,1334746.97
24,20020924,-0.695,10.42,-138621.98,1526772.7099999997,0.0,1438230.12
25,20020925,-0.667,10.44,-132622.42,1659395.1299999997,0.0,1573411.67
26,20020926,-0.69,10.36,-137823.78,1797218.9099999997,0.0,1698969.19
27,20020927,-0.658,10.39,-130947.99,1928166.8999999997,0.0,1834638.13
28,20021009,-0.955,9.75,-190174.48,2118341.38,0.0,1911512.96
29,20021010,-0.929,9.76,-185488.26,2303829.6399999997,0.0,2098679.81
30,20021011,-0.766,10.05,-152799.71,2456629.3499999996,0.0,2313606.29
31,20021014,-0.736,10.07,-147060.22,2603689.57,0.0,2465047.29
32,20021015,-0.722,10.06,-143895.39,2747584.96,0.0,2606276.1
