trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb61,min1,min2,min3,max1,max2,max3,close,pb1,maxdif
20020704,6.9064,6.3736,6.8281,7.0842,7.1805,7.356,7.3544,6.9632,6.2124,5.8884,5.8884,6.2124,6.3736,7.356,7.3544,7.1805,12.24,6.067,-1.2889999999999997
20020705,6.9009,6.3689,6.8295,7.0828,7.1803,7.354,7.35,6.9491,6.2036,5.8961,5.8961,6.2036,6.3689,7.354,7.35,7.1803,12.33,6.1116,-1.2424
20020708,6.8961,6.3645,6.8308,7.0818,7.1801,7.3523,7.3456,6.9354,6.1946,5.9031,5.9031,6.1946,6.3645,7.3523,7.3456,7.1801,12.21,6.0521,-1.3001999999999994
20020709,6.8913,6.3654,6.8321,7.0807,7.1799,7.35,7.3412,6.9218,6.1851,5.9089,5.9089,6.1851,6.3654,7.35,7.3412,7.1799,12.4,6.1463,-1.2036999999999995
20020710,6.8866,6.3665,6.8335,7.0798,7.1802,7.3482,7.3372,6.9092,6.1777,5.9167,5.9167,6.1777,6.3665,7.3482,7.3372,7.1802,12.2,6.0471,-1.3011
20020711,6.8816,6.3676,6.8349,7.0787,7.1802,7.3466,7.3333,6.896,6.1697,5.9229,5.9229,6.1697,6.3676,7.3466,7.3333,7.1802,12.2,6.0471,-1.2994999999999992
20020712,6.8766,6.3687,6.8362,7.0776,7.1801,7.3449,7.3293,6.8836,6.1605,5.9285,5.9285,6.1605,6.3687,7.3449,7.3293,7.1801,12.17,6.0323,-1.3125999999999998
20020715,6.8718,6.3698,6.8375,7.0766,7.1799,7.3433,7.3253,6.871,6.1522,5.9246,5.9246,6.1522,6.3698,7.3433,7.3253,7.1799,12.09,5.9926,-1.3506999999999998
20020716,6.8671,6.3711,6.839,7.0755,7.1798,7.3414,7.321,6.8588,6.1467,5.9207,5.9207,6.1467,6.3711,7.3414,7.321,7.1798,12.1,5.9976,-1.3437999999999999
20020717,6.8623,6.3726,6.8405,7.0747,7.1797,7.3394,7.3165,6.8472,6.1421,5.9182,5.9182,6.1421,6.3726,7.3394,7.3165,7.1797,12.16,6.0273,-1.3121
20020718,6.8574,6.3739,6.8419,7.0736,7.1796,7.3373,7.3122,6.8356,6.1369,5.9142,5.9142,6.1369,6.3739,7.3373,7.3122,7.1796,12.15,6.0223,-1.3149999999999995
20020719,6.8526,6.3752,6.8433,7.0725,7.1795,7.3353,7.3082,6.8235,6.131,5.9116,5.9116,6.131,6.3752,7.3353,7.3082,7.1795,12.16,6.0273,-1.3079999999999998
20020722,6.8477,6.3767,6.8449,7.0714,7.1798,7.3336,7.3035,6.8112,6.1247,5.9114,5.9114,6.1247,6.3767,7.3336,7.3035,7.1798,12.03,5.9629,-1.3706999999999994
20020723,6.843,6.3782,6.8465,7.0702,7.1802,7.3317,7.2988,6.7996,6.1191,5.9096,5.9096,6.1191,6.3782,7.3317,7.2988,7.1802,12.03,5.9629,-1.3687999999999994
20020724,6.8379,6.3796,6.848,7.0692,7.1809,7.3291,7.294,6.7875,6.1121,5.9067,5.9067,6.1121,6.3796,7.3291,7.294,7.1809,11.98,5.9381,-1.391
20020725,6.8332,6.3814,6.8495,7.0675,7.1816,7.3264,7.2891,6.7755,6.1062,5.9024,5.9024,6.1062,6.3814,7.3264,7.2891,7.1816,11.86,5.8786,-1.4478
20020726,6.8286,6.3831,6.851,7.0655,7.1821,7.3237,7.2836,6.7638,6.1015,5.8965,5.8965,6.1015,6.3831,7.3237,7.2836,7.1821,11.83,5.8637,-1.46
20020729,6.824,6.3847,6.8527,7.0634,7.1827,7.3205,7.2781,6.7522,6.1021,5.8917,5.8917,6.1021,6.3847,7.3205,7.2781,7.1827,11.89,5.8935,-1.4269999999999996
20020730,6.8194,6.3861,6.8544,7.0614,7.1834,7.317,7.2725,6.7407,6.1024,5.8868,5.8868,6.1024,6.3861,7.317,7.2725,7.1834,11.86,5.8786,-1.4384000000000006
20020731,6.8152,6.3873,6.8565,7.0594,7.1841,7.3134,7.2667,6.7286,6.1051,5.8819,5.8819,6.1051,6.3873,7.3134,7.2667,7.1841,11.76,5.829,-1.4844
20020801,6.8108,6.3885,6.8586,7.0574,7.1847,7.31,7.2612,6.7157,6.1068,5.8744,5.8744,6.1068,6.3885,7.31,7.2612,7.1847,11.78,5.8389,-1.4710999999999999
20020802,6.8062,6.3898,6.8607,7.0555,7.1852,7.3066,7.2557,6.7026,6.111,5.8673,5.8673,6.111,6.3898,7.3066,7.2557,7.1852,11.87,5.8836,-1.423
20020805,6.8018,6.3909,6.8631,7.0536,7.1857,7.3038,7.2491,6.6906,6.1161,5.8606,5.8606,6.1161,6.3909,7.3038,7.2491,7.1857,11.9,5.8984,-1.4054000000000002
20020806,6.7976,6.392,6.8655,7.0519,7.1862,7.3007,7.2427,6.6791,6.117,5.8536,5.8536,6.117,6.392,7.3007,7.2427,7.1862,11.96,5.9282,-1.3724999999999996
20020807,6.7933,6.3932,6.8679,7.0503,7.1867,7.2974,7.2362,6.6675,6.1173,5.8487,5.8487,6.1173,6.3932,7.2974,7.2362,7.1867,11.89,5.8935,-1.4038999999999993
20020808,6.7891,6.3943,6.8701,7.0488,7.1868,7.2939,7.2307,6.6563,6.1173,5.847,5.847,6.1173,6.3943,7.2939,7.2307,7.1868,11.8,5.8489,-1.4449999999999994
20020809,6.7849,6.3953,6.8722,7.0473,7.1863,7.2906,7.225,6.6468,6.1211,5.8442,5.8442,6.1211,6.3953,7.2906,7.225,7.1863,11.75,5.8241,-1.4665000000000008
20020812,6.7804,6.3963,6.8742,7.0457,7.186,7.2873,7.2195,6.6377,6.1236,5.842,5.842,6.1236,6.3963,7.2873,7.2195,7.186,11.67,5.7844,-1.5029000000000003
20020813,6.7758,6.3973,6.8762,7.0442,7.186,7.284,7.2138,6.6275,6.1259,5.8418,5.8418,6.1259,6.3973,7.284,7.2138,7.186,11.59,5.7448,-1.5392000000000001
20020814,6.7709,6.3981,6.8782,7.0427,7.186,7.2807,7.2079,6.6179,6.1243,5.84,5.84,6.1243,6.3981,7.2807,7.2079,7.186,11.64,5.7696,-1.5111000000000008
20020815,6.7659,6.3989,6.8802,7.0412,7.1862,7.2774,7.203,6.6082,6.1226,5.8402,5.8402,6.1226,6.3989,7.2774,7.203,7.1862,11.63,5.7646,-1.5128000000000004
20020816,6.761,6.3996,6.8821,7.0391,7.1863,7.2741,7.1977,6.5999,6.1194,5.8361,5.8361,6.1194,6.3996,7.2741,7.1977,7.1863,11.63,5.7646,-1.5095
20020819,6.7561,6.4004,6.8841,7.0372,7.1866,7.2704,7.1926,6.5916,6.1161,5.8341,5.8341,6.1161,6.4004,7.2704,7.1926,7.1866,11.6,5.7497,-1.5207000000000006
20020820,6.7512,6.4011,6.8861,7.0353,7.1865,7.2669,7.1878,6.5836,6.1144,5.8324,5.8324,6.1144,6.4011,7.2669,7.1878,7.1865,11.78,5.8389,-1.428
20020821,6.7466,6.402,6.8882,7.0335,7.1868,7.2635,7.183,6.5751,6.1127,5.8337,5.8337,6.1127,6.402,7.2635,7.1868,7.183,11.7,5.7993,-1.4642
20020822,6.742,6.4027,6.8903,7.0316,7.187,7.2599,7.1781,6.5654,6.1109,5.8344,5.8344,6.1109,6.4027,7.2599,7.187,7.1781,11.88,5.8885,-1.3714000000000004
20020823,6.7375,6.4034,6.8927,7.0297,7.1876,7.2566,7.1735,6.5568,6.1092,5.8359,5.8359,6.1092,6.4034,7.2566,7.1876,7.1735,11.8,5.8489,-1.4076999999999993
20020826,6.7328,6.4043,6.8949,7.0277,7.1882,7.2534,7.1687,6.5476,6.1065,5.8395,5.8395,6.1065,6.4043,7.2534,7.1882,7.1687,11.7,5.7993,-1.4541000000000004
20020827,6.7281,6.4049,6.8972,7.0258,7.1886,7.2504,7.164,6.5383,6.1015,5.8424,5.8424,6.1015,6.4049,7.2504,7.1886,7.164,11.69,5.7943,-1.4561000000000002
20020828,6.7233,6.4054,6.8994,7.024,7.1887,7.2476,7.1596,6.5297,6.0964,5.8467,5.8467,6.0964,6.4054,7.2476,7.1887,7.1596,11.66,5.7795,-1.4681000000000006
