,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20180606,-0.008,5.65,-1135.02,1135.02,0.0,1123.85
1,20180607,-0.001,5.69,-0.0,1135.02,0.0,1131.84
2,20180608,-0.019,5.58,-3353.06,4488.08,0.0,4454.46
3,20180611,-0.019,5.58,-3353.06,7841.139999999999,0.0,7799.05
4,20180612,-0.016,5.6,-2805.05,10646.189999999999,0.0,10624.17
5,20180613,-0.019,5.58,-3353.06,13999.249999999998,0.0,13930.8
6,20180614,-0.012,5.62,-2253.04,16252.289999999997,0.0,16276.41
7,20180615,-0.015,5.7,-2855.05,19107.339999999997,0.0,19355.28
8,20180619,-0.009,5.74,-1727.03,20834.369999999995,0.0,21211.08
9,20180620,-0.017,5.69,-2850.05,23684.419999999995,0.0,23867.71
10,20180621,-0.002,5.68,-0.0,23684.419999999995,0.0,23825.76
11,20180622,-0.004,5.67,-572.01,24256.429999999993,0.0,24350.09
12,20180625,-0.026,5.54,-4991.09,29247.519999999993,0.0,28771.47
13,20180626,-0.046,5.42,-8677.16,37924.67999999999,0.0,36809.25
14,20180627,-0.065,5.31,-12749.24,50673.91999999999,0.0,48790.01
15,20180628,-0.083,5.2,-16125.31,66799.23,0.0,63878.82
16,20180629,-0.062,5.32,-12241.23,79040.45999999999,0.0,77573.45
17,20180702,-0.103,5.08,-20325.48,99365.93999999999,0.0,94368.03
18,20180703,-0.093,5.14,-18509.36,117875.29999999999,0.0,113963.15
19,20180704,-0.089,5.16,-17549.34,135424.63999999998,0.0,131928.32
20,20180705,-0.077,5.23,-15172.29,150596.93,0.0,148865.83
21,20180706,-0.067,5.29,-13230.25,163827.18,0.0,163781.91
22,20180709,-0.026,5.53,-4982.09,168809.27,0.0,176183.3
23,20180710,-0.027,5.52,-4973.09,173782.36,0.0,180826.4
24,20180711,-0.034,5.48,-6581.12,180363.47999999998,0.0,186083.7
25,20180712,-0.004,5.66,-571.01,180934.49,0.0,192761.33
26,20180713,-0.016,5.36,-2685.05,183619.53999999998,0.0,185220.72
27,20180716,-0.039,5.23,-7327.14,190946.68,0.0,188041.05
28,20180717,-0.039,5.23,-7327.14,198273.82,0.0,195353.76
29,20180718,-0.039,5.23,-7327.14,205600.96000000002,0.0,202666.47
30,20180719,-0.049,5.17,-9311.18,214912.14,0.0,209635.56
31,20180720,-0.007,5.47,-1099.02,216011.16,0.0,222892.95
32,20180723,0.027,5.6,5029.87,216011.16,5029.87,223156.71
33,20180724,0.029,5.61,5599.29,216011.16,10629.16,217952.32
34,20180725,0.03,5.62,5609.28,216011.16,16238.439999999999,212727.96
35,20180726,0.018,5.55,3321.61,216011.16,19560.05,206752.5
36,20180727,0.017,5.54,3315.62,216011.16,22875.67,203060.18
37,20180730,0.026,5.59,5020.88,216011.16,27896.55,199868.27
38,20180731,0.038,5.65,7332.53,216011.16,35229.08,194677.89
39,20180801,0.02,5.55,3876.04,216011.16,39105.12,187352.13
40,20180802,-0.003,5.44,-549.01,216560.17,39105.12,184182.09
41,20180803,-0.003,5.48,-553.01,217113.18000000002,39105.12,186083.7
42,20180806,0.015,5.51,2747.19,217113.18000000002,41852.310000000005,184350.92
43,20180807,0.031,5.6,6148.73,217113.18000000002,48001.04000000001,181209.96
44,20180808,0.016,5.51,2747.19,217113.18000000002,50748.23000000001,175546.1
45,20180809,0.028,5.57,5559.33,217113.18000000002,56307.56000000001,171894.77
46,20180810,0.016,5.5,2742.2,217113.18000000002,59049.76000000001,166987.96
47,20180813,-0.001,5.4,-0.0,217113.18000000002,59049.76000000001,163951.76
48,20180814,-0.004,5.38,-543.01,217656.19000000003,59049.76000000001,163881.84
49,20180815,-0.018,5.29,-3179.06,220835.25000000003,59049.76000000001,164310.24
50,20180816,-0.02,5.27,-3694.07,224529.32000000004,59049.76000000001,167373.34
51,20180817,-0.021,5.26,-3687.07,228216.39000000004,59049.76000000001,170733.06
52,20180820,-0.002,5.36,-0.0,228216.39000000004,59049.76000000001,173979.0
53,20180821,-0.012,5.4,-2165.04,230381.43000000005,59049.76000000001,177434.64
54,20180822,-0.014,5.39,-2700.05,233081.48000000004,59049.76000000001,179797.63
55,20180823,-0.012,5.4,-2165.04,235246.52000000005,59049.76000000001,182288.47
56,20180824,0.023,5.49,4382.53,235246.52000000005,63432.29000000001,180940.24
57,20180827,0.03,5.53,5519.37,235246.52000000005,68951.66,176735.6
58,20180828,0.026,5.51,4948.95,235246.52000000005,73900.61,171143.69
59,20180829,0.022,5.49,4382.53,235246.52000000005,78283.14,166136.04
60,20180830,-0.013,5.4,-2165.04,237411.56000000006,78283.14,165569.7
61,20180831,-0.009,5.44,-1637.03,239048.59000000005,78283.14,168426.1
62,20180903,-0.011,5.43,-2177.04,241225.63000000006,78283.14,170285.73
63,20180904,-0.009,5.44,-1637.03,242862.66000000006,78283.14,172229.27
64,20180905,-0.006,5.35,-1075.02,243937.68000000005,78283.14,170448.48
65,20180906,-0.01,5.33,-1604.03,245541.71000000005,78283.14,171408.25
66,20180907,-0.006,5.35,-1075.02,246616.73000000004,78283.14,173120.09
67,20180910,-0.008,5.34,-1073.02,247689.75000000003,78283.14,173863.14
68,20180911,-0.008,5.34,-1073.02,248762.77000000002,78283.14,174929.78
69,20180912,-0.016,5.29,-3179.06,251941.83000000002,78283.14,176461.8
70,20180913,-0.001,5.37,-0.0,251941.83000000002,78283.14,179130.46
71,20180914,-0.001,5.37,-0.0,251941.83000000002,78283.14,179130.46
72,20180917,-0.01,5.32,-1601.03,253542.86000000002,78283.14,179056.53
73,20180918,-0.017,5.39,-3239.06,256781.92,78283.14,184642.47
74,20180919,-0.008,5.44,-1093.02,257874.94,78283.14,187441.95
75,20180920,-0.001,5.49,-0.0,257874.94,78283.14,189164.79
76,20180921,0.065,5.75,12632.13,257874.94,90915.27,185489.61
77,20180925,0.049,5.67,9624.19,257874.94,100539.46,173282.06
78,20180926,0.052,5.7,10244.56,257874.94,110784.02,163951.92
79,20180927,0.048,5.69,9089.74,257874.94,119873.76000000001,154571.82
80,20180928,0.06,5.77,11523.26,257874.94,131397.02000000002,145219.73
81,20181008,0.021,5.56,3883.04,257874.94,135280.06000000003,136047.27
82,20181009,0.014,5.53,2757.18,257874.94,138037.24000000002,132551.7
83,20181010,0.016,5.55,2767.17,257874.94,140804.41000000003,130259.62
84,20181011,-0.011,5.4,-2165.04,260039.98,140804.41000000003,128896.29
85,20181012,0.012,5.53,2204.75,260039.98,143009.16000000003,129790.21
86,20181015,-0.007,5.43,-1091.02,261131.0,143009.16000000003,128527.77
87,20181016,-0.003,5.45,-550.01,261681.01,143009.16000000003,129545.48
