,trade_date,dif_pb,close,本次金额,累计买入金额,累计卖出金额,股票剩余资产
0,20111116,-0.112,7.68,-22277.86,22277.86,0.0,22243.87
1,20111117,-0.127,7.66,-25284.65,47562.51,0.0,47432.01
2,20111118,-0.416,7.23,-83166.94,130729.45000000001,0.0,127809.27
3,20111121,-0.337,7.35,-66902.63,197632.08000000002,0.0,196731.1
4,20111122,-0.372,7.3,-73749.44,271381.52,0.0,269029.6
5,20111123,-0.346,7.34,-69014.19,340395.71,0.0,339412.57
6,20111124,-0.313,7.39,-62092.36,402488.07,0.0,403722.24
7,20111125,-0.395,7.27,-78536.71,481024.78,0.0,475583.22
8,20111128,-0.356,7.33,-71119.75,552144.53,0.0,550519.46
9,20111129,-0.27,7.46,-53726.15,605870.68,0.0,613927.38
10,20111130,-0.352,7.34,-69748.38,675619.06,0.0,673693.63
11,20111201,-0.313,7.4,-62176.38,737795.4400000001,0.0,741282.19
12,20111202,-0.476,7.16,-94536.95,832332.39,0.0,811632.83
13,20111205,-0.712,6.81,-142366.67,974699.06,0.0,914106.48
14,20111206,-0.767,6.73,-152811.46,1127510.52,0.0,1055945.69
15,20111207,-0.756,6.72,-151240.05,1278750.57,0.0,1205385.4
16,20111208,-0.773,6.66,-154552.95,1433303.52,0.0,1348939.41
17,20111209,-0.828,6.55,-165103.79,1598407.31,0.0,1491510.45
18,20111212,-0.931,6.37,-186053.42,1784460.73,0.0,1636290.33
19,20111213,-1.201,5.93,-240229.09,2024689.82,0.0,1763124.53
20,20111214,-1.314,5.72,-262618.23,2287308.05,0.0,1962900.9
21,20111215,-1.557,5.31,-311249.65,2598557.6999999997,0.0,2132972.18
22,20111216,-1.393,5.5,-278374.64,2876932.34,0.0,2487241.72
23,20111219,-1.304,5.58,-260655.82,3137588.1599999997,0.0,2783676.04
24,20111220,-1.271,5.58,-253958.02,3391546.1799999997,0.0,3037244.12
25,20111221,-1.372,5.38,-274453.7,3665999.88,0.0,3202412.3
26,20111222,-1.434,5.24,-286705.13,3952705.01,0.0,3405340.85
27,20111223,-1.346,5.32,-269264.36,4221969.37,0.0,3726182.23
28,20111226,-1.335,5.28,-266711.71,4488681.08,0.0,3964466.94
29,20111227,-1.441,5.07,-288053.67,4776734.75,0.0,4094396.64
30,20111228,-1.461,4.99,-291993.83,5068728.58,0.0,4321333.75
31,20111229,-1.391,5.04,-277778.94,5346507.5200000005,0.0,4641985.92
32,20111230,-1.338,5.07,-267261.07,5613768.590000001,0.0,4936467.08
33,20120104,-1.383,4.96,-276346.64,5890115.23,0.0,5105283.22
34,20120105,-1.52,4.71,-303877.4,6193992.630000001,0.0,5151364.09
35,20120106,-1.487,4.71,-297281.61,6491274.240000001,0.0,5448187.28
36,20120109,-1.278,4.97,-255527.0,6746801.240000001,0.0,6004076.4
37,20120110,-0.909,5.47,-181652.72,6928453.960000001,0.0,6789494.08
38,20120111,-0.704,5.73,-140422.55,7068876.510000001,0.0,7252425.23
39,20120112,-0.533,6.05,-106508.38,7175384.890000001,0.0,7763799.45
40,20120113,-0.77,5.65,-153721.14,7329106.03,0.0,7403967.08
41,20120116,-0.915,5.39,-182770.07,7511876.100000001,0.0,7245736.73
42,20120117,-0.631,5.78,-126037.68,7637913.78,0.0,7895864.87
43,20120118,-0.695,5.65,-139027.21,7776940.99,0.0,7857086.94
44,20120119,-0.666,5.66,-133045.6,7909986.59,0.0,8003834.92
45,20120120,-0.583,5.75,-116181.06,8026167.649999999,0.0,8247109.42
46,20120130,-0.658,5.6,-131635.25,8157802.899999999,0.0,8163396.84
47,20120131,-0.638,5.6,-127154.05,8284956.949999999,0.0,8290355.67
48,20120201,-0.63,5.58,-125583.64,8410540.59,0.0,8386137.54
49,20120202,-0.529,5.7,-105478.21,8516018.8,0.0,8671804.16
50,20120203,-0.468,5.76,-93336.95,8609355.75,0.0,8856281.65
51,20120206,-0.427,5.79,-85135.75,8694491.5,0.0,8987414.06
52,20120207,-0.518,5.62,-103435.69,8797927.19,0.0,8826807.22
53,20120208,-0.376,5.8,-74839.99,8872767.18,0.0,9184246.57
54,20120209,-0.287,5.9,-57245.28,8930012.459999999,0.0,9399755.88
55,20120210,-0.119,6.12,-23262.19,8953274.649999999,0.0,9773487.75
56,20120213,-0.015,6.25,-2505.04,8955779.689999998,0.0,9983594.75
57,20120214,-0.037,6.19,-6814.11,8962593.799999997,0.0,9894551.08
58,20120215,-0.744,6.26,-148401.46,9110995.259999998,0.0,10154620.21
59,20120216,-0.623,6.42,-124581.08,9235576.339999998,0.0,10538557.75
60,20120217,-0.733,6.23,-146443.95,9382020.289999997,0.0,10372883.75
61,20120220,-0.75,6.18,-149595.81,9531616.099999998,0.0,10438999.58
62,20120221,-0.704,6.22,-140609.4,9672225.499999998,0.0,10646961.04
63,20120222,-0.625,6.31,-124971.21,9797196.709999999,0.0,10925799.07
64,20120223,-0.64,6.26,-127737.97,9924934.68,0.0,10966764.76
65,20120224,-0.561,6.35,-111789.7,10036724.379999999,0.0,11236054.96
66,20120227,-0.57,6.31,-113610.2,10150334.579999998,0.0,11278711.77
67,20120228,-0.382,6.57,-76232.21,10226566.79,0.0,11819567.69
68,20120229,-0.529,6.33,-105739.1,10332305.889999999,0.0,11493373.28
69,20120301,-0.495,6.36,-98606.2,10430912.089999998,0.0,11646300.33
70,20120302,-0.418,6.45,-83227.09,10514139.179999998,0.0,11894208.76
71,20120305,-0.373,6.49,-74005.64,10588144.819999998,0.0,12041864.82
72,20120306,-0.435,6.37,-86655.02,10674799.839999998,0.0,11905729.84
73,20120307,-0.503,6.24,-100490.73,10775290.569999998,0.0,11763088.75
74,20120308,-0.381,6.4,-76180.23,10851470.799999999,0.0,12140774.86
75,20120309,-0.273,6.54,-54296.4,10905767.2,0.0,12460571.78
76,20120312,-0.213,6.61,-42315.22,10948082.42,0.0,12636194.34
77,20120313,-0.141,6.7,-28147.46,10976229.88,0.0,12836352.41
78,20120314,-0.408,6.28,-81033.54,11057263.42,0.0,12112582.96
79,20120315,-0.528,6.08,-105212.03,11162475.45,0.0,11831876.55
80,20120316,-0.422,6.22,-83992.34,11246467.79,0.0,12188189.25
81,20120319,-0.224,6.5,-44211.73,11290679.52,0.0,12781006.62
82,20120320,-0.35,6.29,-69837.56,11360517.08,0.0,12437806.05
83,20120321,-0.251,6.42,-50089.3,11410606.38,0.0,12744883.94
84,20120322,-0.185,6.5,-36409.66,11447016.040000001,0.0,12940055.11
85,20120323,-0.324,6.27,-64598.18,11511614.22,0.0,12546668.43
86,20120326,-0.298,6.29,-59141.72,11570755.940000001,0.0,12645741.49
87,20120327,-0.332,6.22,-65949.54,11636705.48,0.0,12570856.15
88,20120328,-0.158,5.71,-31413.4,11668118.88,0.0,11571475.39
89,20120329,-0.214,5.63,-42799.46,11710918.340000002,0.0,11452084.05
90,20120330,-0.256,5.57,-50700.58,11761618.920000002,0.0,11380657.54
91,20120405,-0.135,5.76,-26503.08,11788122.000000002,0.0,11795336.08
92,20120406,-0.07,5.87,-13506.23,11801628.230000002,0.0,12034082.04
93,20120409,-0.059,5.9,-11215.19,11812843.420000002,0.0,12106781.87
94,20120410,-0.034,5.95,-6550.11,11819393.530000001,0.0,12215920.16
95,20120411,-0.05,5.94,-9509.16,11828902.690000001,0.0,12204880.82
96,20120412,-0.319,6.06,-63646.96,11892549.650000002,0.0,12514997.64
97,20120413,-0.269,6.12,-53258.18,11945807.830000002,0.0,12692087.12
98,20120416,-0.258,6.12,-51421.69,11997229.520000001,0.0,12743430.03
99,20120417,-0.073,5.97,-14333.24,12011562.760000002,0.0,12445395.79
100,20120418,-0.232,6.12,-45912.23,12057474.990000002,0.0,12803941.3
101,20120419,-0.199,6.15,-39370.48,12096845.470000003,0.0,12906016.91
102,20120420,-0.169,6.18,-33380.88,12130226.350000003,0.0,13002303.86
103,20120423,-0.011,6.09,-1832.03,12132058.380000003,0.0,12814771.53
104,20120424,-0.099,5.96,-19673.33,12151731.710000003,0.0,12560859.99
105,20120425,-0.161,6.15,-31988.52,12183720.230000002,0.0,12993236.32
106,20120426,-0.145,6.16,-28959.71,12212679.940000003,0.0,13043279.22
107,20120427,-0.896,6.64,-178663.34,12391343.280000003,0.0,14238045.2
108,20120502,-0.953,6.65,-190240.41,12581583.690000003,0.0,14449437.77
109,20120503,-1.055,6.49,-210980.98,12792564.670000004,0.0,14312434.98
110,20120504,-0.003,6.43,-0.0,12792564.670000004,0.0,14180114.59
111,20120507,-1.045,6.5,-208705.37,13001270.040000003,0.0,14542874.36
112,20120508,-1.088,6.43,-217391.71,13218661.750000004,0.0,14603315.32
113,20120509,-0.045,6.23,-8727.14,13227388.890000004,0.0,14157794.78
114,20120510,-0.038,6.25,-7505.12,13234894.010000004,0.0,14210736.4
115,20120511,-0.061,6.22,-11823.19,13246717.200000003,0.0,14154326.81
116,20120514,-0.07,6.21,-13667.22,13260384.420000004,0.0,14145215.0
117,20120515,-0.135,6.11,-26891.16,13287275.580000004,0.0,13944280.04
118,20120516,-0.171,6.05,-33889.03,13321164.610000003,0.0,13841182.51
119,20120517,-0.111,6.14,-22109.89,13343274.500000004,0.0,14069163.82
120,20120518,-0.277,5.87,-55192.73,13398467.230000004,0.0,13505585.23
121,20120521,-0.24,5.91,-47883.78,13446351.010000004,0.0,13645428.4
122,20120522,-0.169,6.0,-33608.96,13479959.970000004,0.0,13886787.76
123,20120523,-0.204,5.93,-40334.76,13520294.730000004,0.0,13765045.45
124,20120524,-0.213,5.9,-42491.34,13562786.070000004,0.0,13737832.79
125,20120528,-0.153,5.98,-30506.13,13593292.200000005,0.0,13954571.01
126,20120529,-0.073,6.09,-14012.23,13607304.430000005,0.0,14225254.0
127,20120530,-0.746,6.7,-148779.41,13756083.840000005,0.0,15798690.53
128,20120531,-0.759,6.66,-151222.07,13907305.910000006,0.0,15855359.33
129,20120601,-0.811,6.56,-162074.98,14069380.890000006,0.0,15779114.28
130,20120604,-0.761,6.62,-151638.19,14221019.080000006,0.0,16074843.86
131,20120605,-0.713,6.68,-142321.7,14363340.780000005,0.0,16362643.53
132,20120606,-0.852,6.45,-170325.21,14533665.990000006,0.0,15969315.16
