trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,min1,max1,pb1,mindif,maxdif
19961023,,13.5731,15.2144,12.1159,6.2982,4.3355,4.1061,4.1115,4.2415,4.1061,15.2144,6.7817,2.6756,-8.4327
19961024,,13.5662,15.2181,12.067,6.2537,4.3392,4.1096,4.1239,4.2656,4.1096,15.2181,6.0597,1.9501,-9.1584
19961025,,13.5587,15.2209,12.0144,6.2079,4.3412,4.1112,4.1333,4.2826,4.1112,15.2209,5.8564,1.7451999999999996,-9.3645
19961026,,13.5524,15.2238,11.9565,6.1626,4.3426,4.1122,4.1419,4.2997,4.1122,15.2238,5.8564,1.7442000000000002,-9.3674
19961027,,13.5463,15.2268,11.8994,6.117,4.344,4.1132,4.1505,4.3139,4.1132,15.2268,5.8564,1.7431999999999999,-9.3704
19961028,,13.5402,15.2296,11.8422,6.066,4.3454,4.1137,4.159,4.3285,4.1137,15.2296,5.6265,1.5128000000000004,-9.6031
19961029,,13.534,15.2322,11.7848,6.0164,4.3463,4.1137,4.1667,4.3418,4.1137,15.2322,5.6425,1.5288000000000004,-9.5897
19961030,,13.528,15.235,11.7208,5.9696,4.3472,4.1144,4.1744,4.3553,4.1144,15.235,5.926,1.8116000000000003,-9.309
19961031,,13.5222,15.2381,11.6593,5.9232,4.3489,4.116,4.1832,4.371,4.116,15.2381,5.9634,1.8474000000000004,-9.2747
19961101,,13.5164,15.2412,11.6033,5.8769,4.3507,4.1176,4.1923,4.3887,4.1176,15.2412,5.589,1.4714,-9.652199999999999
19961102,,13.5134,15.244,11.546,5.8297,4.3516,4.1187,4.1997,4.4034,4.1187,15.244,5.589,1.4703000000000008,-9.655
19961103,,13.5105,15.2469,11.4917,5.7843,4.3529,4.1205,4.2072,4.4181,4.1205,15.2469,5.589,1.4685000000000006,-9.6579
19961104,,13.5073,15.2497,11.4374,5.7382,4.3542,4.1224,4.2147,4.4339,4.1224,15.2497,5.7227,1.6002999999999998,-9.527000000000001
19961105,,13.5034,15.2526,11.3833,5.6923,4.3558,4.1248,4.2215,4.451,4.1248,15.2526,5.4927,1.3679000000000006,-9.759899999999998
19961106,,13.4995,15.2553,11.331,5.6447,4.3571,4.1262,4.2277,4.4661,4.1262,15.2553,5.236,1.1098,-10.019300000000001
19961107,,13.4955,15.2578,11.2748,5.5966,4.3578,4.1269,4.2338,4.4792,4.1269,15.2578,5.4179,1.2910000000000004,-9.8399
19961108,,13.4916,15.2604,11.2206,5.5487,4.3584,4.1281,4.2403,4.4903,4.1281,15.2604,5.8297,1.7016,-9.430700000000002
19961109,,13.4879,15.2636,11.162,5.4974,4.3598,4.1304,4.2483,4.5063,4.1304,15.2636,5.8297,1.6993,-9.433900000000001
19961110,,13.4845,15.2667,11.1091,5.444,4.3609,4.133,4.2562,4.5227,4.133,15.2667,5.8297,1.6966999999999999,-9.437000000000001
19961111,,13.4811,15.2698,11.0562,5.3925,4.3619,4.1358,4.2642,4.54,4.1358,15.2698,5.9367,1.8009000000000004,-9.3331
19961112,,13.4779,15.2731,11.0034,5.3434,4.3632,4.139,4.2719,4.5576,4.139,15.2731,6.0971,1.9581,-9.175999999999998
19961113,,13.4737,15.2764,10.9503,5.2965,4.3649,4.1426,4.2802,4.5765,4.1426,15.2764,5.926,1.7834000000000003,-9.3504
19961114,,13.4693,15.2795,10.8942,5.2492,4.3665,4.1457,4.288,4.594,4.1457,15.2795,5.7762,1.6305000000000005,-9.5033
19961115,,13.4649,15.2825,10.8373,5.2018,4.3678,4.1484,4.2955,4.6107,4.1484,15.2825,5.6051,1.4567000000000005,-9.6774
19961116,,13.46,15.2854,10.7812,5.154,4.3687,4.1512,4.3024,4.6248,4.1512,15.2854,5.6051,1.4539,-9.680299999999999
19961117,,13.4552,15.2883,10.7233,5.1054,4.3697,4.154,4.3092,4.6397,4.154,15.2883,5.6051,1.4511000000000003,-9.6832
19961118,13.4193,13.4508,15.2911,10.6654,5.0586,4.3707,4.157,4.316,4.6541,4.157,15.2911,5.9901,1.8331,-9.301
19961119,13.4136,13.4466,15.2944,10.608,5.0115,4.3726,4.1609,4.3239,4.6699,4.1609,15.2944,6.6212,2.4603,-8.6732
19961120,13.4084,13.4427,15.2986,10.5508,4.964,4.3752,4.1666,4.335,4.6909,4.1666,15.2986,7.37,3.2034000000000002,-7.9286
19961121,13.4038,13.4395,15.3038,10.497,4.9178,4.3794,4.1743,4.3491,4.718,4.1743,15.3038,6.4768,2.3025,-8.827000000000002
19961122,13.3983,13.4355,15.3079,10.4429,4.8701,4.382,4.1796,4.3592,4.7358,4.1796,15.3079,6.2843,2.1047000000000002,-9.0236
19961123,13.3925,13.4306,15.3119,10.3888,4.8225,4.3842,4.1844,4.3681,4.7534,4.1844,15.3119,6.2843,2.0999,-9.0276
19961124,13.3872,13.4255,15.3159,10.3351,4.7745,4.3864,4.1891,4.377,4.7701,4.1891,15.3159,6.2843,2.0952,-9.0316
19961125,13.3819,13.4203,15.32,10.2815,4.7247,4.3885,4.1941,4.3859,4.7879,4.1941,15.32,6.9101,2.716,-8.4099
19961126,13.3771,13.4156,15.3249,10.2287,4.6765,4.392,4.2011,4.3971,4.8124,4.2011,15.3249,6.7817,2.5805999999999996,-8.543199999999999
19961127,13.3722,13.4105,15.3299,10.1756,4.6286,4.3951,4.2077,4.4083,4.8359,4.2077,15.3299,6.6961,2.4884000000000004,-8.6338
19961128,13.3674,13.4054,15.3348,10.1227,4.5805,4.3982,4.2141,4.4188,4.8587,4.2141,15.3348,6.7175,2.5034,-8.6173
19961129,13.3627,13.4003,15.3397,10.0719,4.5325,4.4013,4.2205,4.4299,4.8772,4.2205,15.3397,7.3272,3.1067,-8.0125
19961130,13.3584,13.3956,15.3452,10.0215,4.4825,4.4057,4.229,4.4433,4.9016,4.229,15.3452,7.3272,3.0982000000000003,-8.018
19961201,13.3541,13.3909,15.3506,9.9707,4.4334,4.4102,4.2374,4.4566,4.9243,4.2374,15.3506,7.3272,3.0898000000000003,-8.023399999999999
19961202,13.3498,13.3859,15.3561,9.9198,4.4396,4.4146,4.246,4.47,4.9481,4.246,15.3561,8.2899,4.043899999999999,-7.0662
19961203,13.3462,13.3817,15.363,9.8703,4.4475,4.4212,4.2571,4.4874,4.9802,4.2571,15.363,8.6643,4.4072000000000005,-6.698699999999999
19961204,13.343,13.3783,15.3705,9.8217,4.4559,4.4282,4.2693,4.5065,5.0153,4.2693,15.3705,9.0868,4.8175,-6.2837
19961205,13.3405,13.3752,15.3786,9.7734,4.465,4.4363,4.2827,4.5273,5.0539,4.2827,15.3786,9.7875,5.5047999999999995,-5.591100000000001
19961206,13.3384,13.3727,15.3874,9.7261,4.4752,4.4459,4.2979,4.5511,5.0976,4.2979,15.3874,10.0495,5.7516,-5.337899999999999
19961207,13.3362,13.3701,15.3957,9.6793,4.4858,4.456,4.3139,4.5756,5.1434,4.3139,15.3957,10.0495,5.7356,-5.3462
19961208,13.3341,13.367,15.4039,9.6328,4.4965,4.466,4.3299,4.6,5.1899,4.3299,15.4039,10.0495,5.7196,-5.3544
19961209,13.3311,13.3642,15.411,9.5862,4.5073,4.4761,4.3459,4.6245,5.2355,4.3459,15.411,9.9356,5.589700000000001,-5.475399999999999
19961210,13.3281,13.3615,15.4176,9.5395,4.5179,4.4858,4.3616,4.6487,5.2811,4.3616,15.4176,9.727,5.3654,-5.6906
19961211,13.3249,13.3585,15.4229,9.494,4.5281,4.4952,4.3766,4.672,5.3249,4.3766,15.4229,9.6297,5.2531,-5.793200000000001
19961212,13.3221,13.3554,15.428,9.4495,4.5382,4.5045,4.3914,4.6946,5.3679,4.3914,15.428,8.9692,4.577800000000001,-6.4588
19961213,13.319,13.3516,15.4323,9.4038,4.5471,4.5124,4.4044,4.7143,5.4054,4.4044,15.4323,7.9541,3.5497000000000005,-7.478199999999999
19961214,13.3146,13.347,15.4353,9.3581,4.5544,4.5181,4.4148,4.7299,5.4356,4.4148,15.4353,7.9541,3.539300000000001,-7.481199999999999
19961215,13.3104,13.3421,15.4394,9.3128,4.562,4.5238,4.4252,4.7456,5.4663,4.4252,15.4394,7.9541,3.5289,-7.485299999999999
19961216,13.3062,13.3372,15.3906,9.2675,4.5695,4.5295,4.4359,4.7613,5.4972,4.4359,15.3906,7.1614,2.7255000000000003,-8.229199999999999
19961217,13.3013,13.3319,15.3456,9.2211,4.5758,4.533,4.4444,4.7737,5.5226,4.4444,15.3456,6.4453,2.0008999999999997,-8.9003
19961218,13.2956,13.326,15.3014,9.1756,4.5809,4.535,4.4512,4.7832,5.5422,4.4512,15.3014,7.0919,2.6407,-8.209499999999998
