trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20020122,4.1199,3.8698,3.8352,3.8224,3.8643,3.7867,3.7925,3.7362,3.6502,2.6053,1.9513,2.6053,3.6502,3.7362,4.1199,3.8698,3.8643,6.49
20020123,4.1058,3.8677,3.8334,3.8203,3.8623,3.7828,3.7899,3.7289,3.642,2.5817,1.985,2.5817,3.642,3.7289,4.1058,3.8677,3.8623,6.76
20020124,4.0921,3.8657,3.8318,3.8183,3.8604,3.779,3.7876,3.7219,3.6343,2.5599,2.0676,2.5599,3.6343,3.7219,4.0921,3.8657,3.8604,6.7
20020125,4.0785,3.8637,3.8301,3.8163,3.8586,3.7751,3.7848,3.7148,3.6269,2.5376,2.0492,2.5376,3.6269,3.7148,4.0785,3.8637,3.8586,6.63
20020128,4.0648,3.8616,3.8285,3.8143,3.8567,3.7713,3.7819,3.7075,3.6191,2.516,2.0278,2.516,3.6191,3.7075,4.0648,3.8616,3.8567,6.04
20020129,4.0509,3.8594,3.8266,3.812,3.8546,3.7671,3.7784,3.6999,3.6106,2.4955,1.8473,2.4955,3.6106,3.6999,4.0509,3.8594,3.8546,6.39
20020130,4.0371,3.8572,3.8248,3.81,3.8527,3.7633,3.7757,3.6924,3.6026,2.4754,1.9544,2.4754,3.6026,3.6924,4.0371,3.8572,3.8527,6.23
20020131,4.0233,3.855,3.8229,3.8079,3.8507,3.7595,3.7729,3.6849,3.5942,2.4527,1.9055,2.4527,3.5942,3.6849,4.0233,3.855,3.8507,6.57
20020201,4.0095,3.8529,3.8212,3.8059,3.8488,3.7557,3.7705,3.6777,3.5867,2.4305,2.0094,2.4305,3.5867,3.6777,4.0095,3.8529,3.8488,6.47
20020204,3.9951,3.8509,3.8193,3.8038,3.8472,3.7515,3.768,3.6705,3.5791,2.4081,1.9789,2.4081,3.5791,3.6705,3.9951,3.8509,3.8472,6.59
20020205,3.9805,3.8489,3.8176,3.8017,3.8456,3.7474,3.7655,3.6633,3.5714,2.3876,2.0156,2.3876,3.5714,3.6633,3.9805,3.8489,3.8456,6.63
20020206,3.966,3.8469,3.8158,3.7996,3.8439,3.7433,3.7631,3.6564,3.5641,2.3666,2.0278,2.3666,3.5641,3.6564,3.966,3.8469,3.8439,6.55
20020207,3.9516,3.8449,3.8139,3.7975,3.8423,3.7391,3.7604,3.649,3.5563,2.3458,2.0033,2.3458,3.5563,3.649,3.9516,3.8449,3.8423,6.64
20020208,3.9368,3.843,3.8121,3.7954,3.8407,3.7351,3.7577,3.6415,3.5485,2.3243,2.0309,2.3243,3.5485,3.6415,3.9368,3.843,3.8407,6.6
20020225,3.922,3.841,3.8102,3.7934,3.8392,3.7312,3.7552,3.6348,3.5407,2.3032,2.0186,2.3032,3.5407,3.6348,3.922,3.841,3.8392,6.7
20020226,3.9072,3.8391,3.8083,3.7914,3.8377,3.7274,3.7528,3.6284,3.5331,2.2978,2.0492,2.2978,3.5331,3.6284,3.9072,3.8391,3.8377,6.67
20020227,3.8928,3.8372,3.8064,3.7894,3.8362,3.7236,3.7499,3.6219,3.5257,2.2926,2.04,2.2926,3.5257,3.6219,3.8928,3.8372,3.8362,6.76
20020228,3.8791,3.8352,3.8047,3.7873,3.8348,3.7198,3.7469,3.6155,3.5186,2.2878,2.0676,2.2878,3.5186,3.6155,3.8791,3.8352,3.8348,6.64
20020301,3.8651,3.8332,3.8026,3.7852,3.8332,3.716,3.7438,3.6092,3.5114,2.2832,2.0309,2.2832,3.5114,3.6092,3.8651,3.8332,3.8332,6.51
20020304,3.8632,3.8312,3.8006,3.783,3.8314,3.7121,3.7404,3.603,3.5039,2.2784,1.9911,2.2784,3.5039,3.603,3.8632,3.8314,3.8312,6.58
20020305,3.8615,3.8292,3.7988,3.7808,3.8296,3.7085,3.7363,3.5968,3.498,2.274,2.0125,2.274,3.498,3.5968,3.8615,3.8296,3.8292,6.71
20020306,3.8597,3.8273,3.797,3.7786,3.8279,3.7049,3.7328,3.5908,3.492,2.2699,2.0523,2.2699,3.492,3.5908,3.8597,3.8279,3.8273,6.76
20020307,3.858,3.8254,3.7952,3.7766,3.8263,3.7014,3.7295,3.5848,3.4858,2.2663,2.0676,2.2663,3.4858,3.5848,3.858,3.8263,3.8254,6.89
20020308,3.8564,3.8235,3.7934,3.7746,3.8245,3.698,3.7261,3.579,3.4793,2.2633,2.1073,2.2633,3.4793,3.579,3.8564,3.8245,3.8235,7.03
20020311,3.8548,3.8217,3.7916,3.7726,3.8229,3.6946,3.7229,3.5734,3.4729,2.2606,2.1501,2.2606,3.4729,3.5734,3.8548,3.8229,3.8217,7.1
20020312,3.8532,3.8198,3.7899,3.7707,3.8211,3.6912,3.7198,3.5677,3.4665,2.2585,2.1715,2.2585,3.4665,3.5677,3.8532,3.8211,3.8198,7.19
20020313,3.8516,3.818,3.7882,3.7688,3.8189,3.6878,3.7168,3.5619,3.4597,2.2564,2.1991,2.2564,3.4597,3.5619,3.8516,3.8189,3.818,7.17
20020314,3.8501,3.8162,3.7864,3.7669,3.8167,3.6845,3.7141,3.5561,3.4529,2.2541,2.193,2.2541,3.4529,3.5561,3.8501,3.8167,3.8162,7.26
20020315,3.8485,3.8144,3.7847,3.7654,3.8146,3.6812,3.7114,3.5504,3.4462,2.2514,2.2205,2.2514,3.4462,3.5504,3.8485,3.8146,3.8144,7.0
20020318,3.8469,3.8125,3.7829,3.7636,3.8124,3.6779,3.7087,3.5446,3.4397,2.2484,2.141,2.2484,3.4397,3.5446,3.8469,3.8125,3.8124,6.95
20020319,3.8453,3.8106,3.781,3.7619,3.8102,3.6747,3.7058,3.5391,3.4331,2.2455,2.1257,2.2455,3.4331,3.5391,3.8453,3.8106,3.8102,7.08
