trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20180620,2.3299,2.3251,2.3758,2.3697,2.3595,2.3785,2.1276,1.9031,1.8015,2.3785,1.4068,-0.9716999999999998
20180418,2.3639,2.3544,2.4065,2.4338,2.3986,2.4788,2.2798,2.0151,1.918,2.4788,1.5101,-0.9687000000000001
20180502,2.3554,2.3494,2.401,2.4248,2.3918,2.4582,2.2482,1.9878,1.8843,2.4582,1.4944,-0.9638000000000002
20180426,2.3576,2.3508,2.4026,2.4271,2.3933,2.4636,2.256,1.9943,1.8929,2.4636,1.5045,-0.9591000000000001
20180420,2.3616,2.3532,2.4052,2.4315,2.3968,2.4735,2.2717,2.0074,1.9097,2.4735,1.5157,-0.9578
20180419,2.3627,2.3538,2.4059,2.4327,2.3977,2.4762,2.2757,2.0113,1.9137,2.4762,1.5185,-0.9577
20180625,2.3273,2.3222,2.3727,2.3625,2.3556,2.3692,2.1176,1.8933,1.7878,2.3727,1.4153,-0.9574
20180427,2.3565,2.3501,2.4018,2.426,2.3926,2.4608,2.2521,1.991,1.8884,2.4608,1.5073,-0.9534999999999998
20180628,2.3246,2.3192,2.3697,2.3565,2.3513,2.3597,2.1073,1.8837,1.7714,2.3697,1.4209,-0.9487999999999999
20180416,2.3662,2.3557,2.408,2.4361,2.4002,2.4831,2.2877,2.0235,1.9265,2.4831,1.5353,-0.9477999999999998
20180704,2.3208,2.3153,2.3658,2.3454,2.3453,2.3464,2.094,1.8702,1.7374,2.3658,1.4181,-0.9477000000000002
20180504,2.3532,2.3479,2.3995,2.4223,2.3898,2.453,2.2406,1.9812,1.8769,2.453,1.5085,-0.9444999999999999
20180626,2.3264,2.3211,2.3717,2.3606,2.3541,2.3661,2.1141,1.8901,1.7832,2.3717,1.4294,-0.9423000000000001
20180503,2.3543,2.3486,2.4003,2.4236,2.3907,2.4556,2.2444,1.9845,1.8804,2.4556,1.5141,-0.9415
20170717,2.447,2.4476,2.4384,2.4874,2.562,2.559,2.6571,2.7894,2.5039,2.7894,1.8521,-0.9373
20180702,2.3226,2.3172,2.3678,2.3513,2.3485,2.3531,2.1006,1.8772,1.7548,2.3678,1.4351,-0.9326999999999999
20200424,2.1049,2.0497,1.8949,1.7457,1.6748,1.6182,1.6225,1.534,1.4682,2.1049,1.1724,-0.9325000000000001
20200401,2.1192,2.0601,1.9279,1.7774,1.6964,1.6309,1.6535,1.5755,1.5371,2.1192,1.1876,-0.9316000000000002
20200403,2.1175,2.059,1.924,1.7728,1.6939,1.6292,1.649,1.5705,1.5288,2.1175,1.1876,-0.9299000000000002
20180627,2.3255,2.3201,2.3706,2.3586,2.3528,2.3629,2.1106,1.8869,1.7781,2.3706,1.4435,-0.9271
