trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20190812,0.8159,0.8438,0.8043,0.8184,0.8231,0.7672,0.6915,0.6548,0.6709,0.8438,0.49,-0.3538
20190826,0.8163,0.8398,0.8017,0.8144,0.8153,0.7541,0.6804,0.6475,0.6533,0.8398,0.4862,-0.35359999999999997
20200430,0.7986,0.7617,0.7637,0.7413,0.6749,0.6206,0.599,0.558,0.5239,0.7986,0.4485,-0.35009999999999997
20190822,0.8162,0.8405,0.8022,0.8153,0.8167,0.7566,0.6828,0.6489,0.6574,0.8405,0.4919,-0.3486
20190821,0.8162,0.8409,0.8025,0.8157,0.8175,0.758,0.6839,0.6496,0.6593,0.8409,0.4938,-0.34709999999999996
20190823,0.8162,0.8402,0.802,0.8148,0.816,0.7553,0.6816,0.6482,0.6553,0.8402,0.4938,-0.34639999999999993
20190819,0.8161,0.8418,0.8032,0.8166,0.8192,0.7606,0.686,0.6509,0.6625,0.8418,0.4957,-0.3461
20190820,0.8161,0.8413,0.8028,0.8162,0.8183,0.7593,0.685,0.6502,0.6609,0.8413,0.4957,-0.3456000000000001
20200506,0.7983,0.7614,0.7634,0.7403,0.6741,0.62,0.5985,0.5569,0.523,0.7983,0.4528,-0.34550000000000003
20200427,0.7997,0.7627,0.7648,0.7441,0.6776,0.6225,0.6004,0.5613,0.5269,0.7997,0.455,-0.34469999999999995
20190805,0.8158,0.8454,0.8054,0.82,0.8267,0.7751,0.6975,0.6584,0.6789,0.8454,0.5014,-0.3440000000000001
20200424,0.8,0.763,0.7652,0.7449,0.6786,0.6231,0.6009,0.5626,0.5279,0.8,0.4594,-0.34060000000000007
20200204,0.8175,0.7949,0.7835,0.784,0.7367,0.6662,0.6269,0.6212,0.5583,0.8175,0.4808,-0.3367
20190802,0.8157,0.8457,0.8057,0.8203,0.8273,0.7767,0.6987,0.6591,0.6803,0.8457,0.511,-0.3347
20200203,0.8177,0.7956,0.7837,0.7846,0.7377,0.6672,0.6275,0.622,0.5586,0.8177,0.4831,-0.3346
20200423,0.8003,0.7634,0.7655,0.7458,0.6794,0.6237,0.6015,0.5637,0.5288,0.8003,0.466,-0.3343
20200401,0.8047,0.7679,0.7704,0.7602,0.693,0.6332,0.6092,0.5825,0.5419,0.8047,0.4719,-0.3328
20200323,0.8068,0.7699,0.7728,0.764,0.6998,0.6383,0.6127,0.5904,0.5486,0.8068,0.4742,-0.33259999999999995
20200403,0.8041,0.7673,0.7698,0.7591,0.6912,0.6318,0.6081,0.5801,0.5401,0.8041,0.4719,-0.33220000000000005
20200331,0.805,0.7682,0.7708,0.7608,0.6939,0.6339,0.6098,0.5837,0.5428,0.805,0.4742,-0.33080000000000004
