trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200427,1.5025,1.4403,1.3741,1.3176,1.2587,1.2206,1.1874,1.1278,1.047,1.5025,0.9677,-0.5347999999999999
20191104,1.5702,1.5482,1.4581,1.4241,1.3673,1.3067,1.2751,1.2547,1.1981,1.5702,1.0365,-0.5337000000000001
20200424,1.5035,1.441,1.3751,1.3185,1.2598,1.2213,1.1881,1.1295,1.0481,1.5035,0.97,-0.5335000000000001
20200204,1.5431,1.4858,1.4203,1.3702,1.3142,1.2607,1.2214,1.2039,1.0893,1.5431,1.0097,-0.5333999999999999
20191031,1.5709,1.5501,1.4592,1.4258,1.3691,1.3085,1.2766,1.2563,1.2024,1.5709,1.0389,-0.532
20200324,1.5228,1.4558,1.3935,1.3395,1.2823,1.237,1.1992,1.166,1.069,1.5228,0.991,-0.5317999999999999
20200428,1.5015,1.4395,1.3731,1.3167,1.2576,1.2198,1.1868,1.1262,1.0458,1.5015,0.97,-0.5315000000000001
20191101,1.5706,1.5492,1.4587,1.425,1.3682,1.3076,1.2759,1.2555,1.2002,1.5706,1.0412,-0.5294000000000001
20191120,1.5665,1.538,1.4513,1.4135,1.3569,1.2962,1.2646,1.2434,1.1723,1.5665,1.0377,-0.5287999999999999
20191119,1.5668,1.5388,1.4518,1.4145,1.3578,1.297,1.2656,1.2445,1.1743,1.5668,1.0389,-0.5279
20191105,1.5699,1.5473,1.4575,1.4233,1.3664,1.3057,1.2744,1.2539,1.1959,1.5699,1.0424,-0.5275000000000001
20191106,1.5696,1.5464,1.4569,1.4224,1.3655,1.3049,1.2736,1.253,1.1939,1.5696,1.0435,-0.5261
20191122,1.5659,1.5361,1.4502,1.4116,1.3553,1.2946,1.2627,1.2414,1.1686,1.5659,1.04,-0.5259
20200421,1.5061,1.4432,1.378,1.3213,1.2629,1.2234,1.1899,1.1349,1.0513,1.5061,0.9805,-0.5256
20191108,1.569,1.5448,1.4557,1.4208,1.3637,1.3032,1.272,1.2513,1.1897,1.569,1.0435,-0.5254999999999999
20191121,1.5662,1.537,1.4507,1.4126,1.3561,1.2954,1.2637,1.2423,1.1704,1.5662,1.0412,-0.5250000000000001
20191129,1.5639,1.5309,1.4475,1.4066,1.3512,1.2908,1.258,1.237,1.1587,1.5639,1.0389,-0.5250000000000001
20191204,1.5625,1.5276,1.4457,1.4036,1.3485,1.2885,1.2548,1.2347,1.1527,1.5625,1.0377,-0.5247999999999999
20191107,1.5693,1.5456,1.4563,1.4216,1.3646,1.304,1.2728,1.2521,1.1919,1.5693,1.0447,-0.5246
20191125,1.5655,1.5352,1.4497,1.4107,1.3546,1.2938,1.2618,1.2404,1.1666,1.5655,1.0412,-0.5243
