trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200424,0.877,0.8524,0.8463,0.8261,0.7881,0.7412,0.7072,0.6706,0.6367,0.877,0.5789,-0.29810000000000003
20200205,0.8975,0.8693,0.8658,0.8553,0.833,0.7799,0.7421,0.7161,0.6686,0.8975,0.5998,-0.29769999999999996
20200421,0.8786,0.8533,0.8476,0.8275,0.7904,0.7429,0.7089,0.6737,0.6387,0.8786,0.5818,-0.29680000000000006
20200331,0.8851,0.8578,0.8531,0.8349,0.8013,0.7507,0.7177,0.6879,0.6486,0.8851,0.5884,-0.29669999999999996
20200330,0.8855,0.8581,0.8534,0.8354,0.8021,0.7513,0.7183,0.6887,0.6494,0.8855,0.5892,-0.2963
20200402,0.8843,0.8572,0.8524,0.8338,0.7997,0.7496,0.7163,0.686,0.6473,0.8843,0.5884,-0.29589999999999994
20200422,0.8781,0.853,0.8472,0.827,0.7896,0.7423,0.7084,0.6726,0.638,0.8781,0.5826,-0.2955
20200410,0.882,0.8557,0.8505,0.8311,0.7958,0.7468,0.7129,0.6809,0.644,0.882,0.587,-0.29500000000000004
20200207,0.8969,0.8687,0.8652,0.8543,0.8315,0.7781,0.7407,0.7151,0.667,0.8969,0.602,-0.29490000000000005
20200416,0.8801,0.8544,0.8489,0.8289,0.7927,0.7445,0.7104,0.6768,0.6409,0.8801,0.5855,-0.2946
20200415,0.8805,0.8547,0.8493,0.8295,0.7934,0.7451,0.711,0.6778,0.6416,0.8805,0.5862,-0.2942999999999999
20200417,0.8796,0.854,0.8485,0.8284,0.7919,0.744,0.7099,0.6757,0.6401,0.8796,0.5862,-0.2934
20200206,0.8972,0.869,0.8655,0.8548,0.8322,0.779,0.7413,0.7156,0.6678,0.8972,0.6041,-0.2931
20200407,0.8834,0.8566,0.8517,0.8327,0.7981,0.7484,0.715,0.684,0.646,0.8834,0.5906,-0.29279999999999995
20200414,0.881,0.855,0.8497,0.83,0.7942,0.7456,0.7116,0.6788,0.6424,0.881,0.5884,-0.29259999999999997
20200323,0.8876,0.8595,0.8551,0.8382,0.8062,0.7546,0.7212,0.6932,0.653,0.8876,0.595,-0.29259999999999997
20200228,0.8928,0.8631,0.8603,0.8466,0.8196,0.7664,0.7308,0.7067,0.6612,0.8928,0.6005,-0.2923
20200326,0.8863,0.8588,0.8541,0.8365,0.8038,0.7524,0.7195,0.6904,0.6508,0.8863,0.5943,-0.2919999999999999
20200423,0.8775,0.8527,0.8468,0.8265,0.7889,0.7418,0.7078,0.6716,0.6374,0.8775,0.5855,-0.2919999999999999
20200420,0.8791,0.8537,0.8481,0.8279,0.7911,0.7434,0.7093,0.6747,0.6394,0.8791,0.5884,-0.29069999999999996
