trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200324,2.0873,2.0005,1.9798,1.9542,1.8883,1.843,1.8604,1.8677,1.735,2.0873,1.4318,-0.6555
20200506,2.0517,1.9863,1.9593,1.9226,1.8518,1.8242,1.8376,1.7999,1.6514,2.0517,1.3995,-0.6521999999999999
20200330,2.0828,1.999,1.9771,1.9493,1.8827,1.8398,1.8567,1.8585,1.7215,2.0828,1.4309,-0.6519000000000001
20200331,2.0815,1.9986,1.9764,1.948,1.8813,1.839,1.8556,1.8562,1.7178,2.0815,1.4334,-0.6481000000000001
20200430,2.053,1.9869,1.9601,1.9236,1.8531,1.8248,1.8385,1.8023,1.6538,2.053,1.4138,-0.6392
20200320,2.0897,2.0012,1.9813,1.9566,1.8912,1.8449,1.8623,1.8726,1.7421,2.0897,1.4507,-0.639
20200318,2.0921,2.0022,1.9828,1.9588,1.8941,1.8468,1.8641,1.8776,1.7493,2.0921,1.4548,-0.6372999999999998
20200401,2.0802,1.9981,1.9757,1.9466,1.8799,1.8383,1.8545,1.8537,1.7143,2.0802,1.4449,-0.6353
20200417,2.0662,1.9931,1.9684,1.9338,1.8655,1.8311,1.8464,1.8267,1.683,2.0662,1.4313,-0.6348999999999998
20200326,2.085,1.9998,1.9785,1.9518,1.8854,1.8412,1.8585,1.863,1.7282,2.085,1.4606,-0.6244000000000001
20200327,2.0839,1.9994,1.9778,1.9505,1.8841,1.8405,1.8576,1.8607,1.7247,2.0839,1.4672,-0.6166999999999998
20200325,2.0862,2.0002,1.9791,1.953,1.8868,1.842,1.8594,1.8652,1.7315,2.0862,1.4696,-0.6165999999999998
20200402,2.079,1.9977,1.975,1.9454,1.8786,1.8375,1.8535,1.8511,1.7108,2.079,1.4639,-0.6151000000000002
20200403,2.0778,1.9973,1.9743,1.9441,1.8773,1.8368,1.8525,1.8487,1.7078,2.0778,1.4713,-0.6064999999999998
20200317,2.0933,2.0027,1.9836,1.9598,1.8956,1.8477,1.8649,1.8796,1.7526,2.0933,1.4919,-0.6014000000000002
20200408,2.0752,1.9966,1.973,1.9417,1.8747,1.8354,1.8507,1.8437,1.7024,2.0752,1.4861,-0.5891000000000002
20200407,2.0766,1.997,1.9737,1.9429,1.876,1.836,1.8516,1.8463,1.705,2.0766,1.4886,-0.5880000000000001
20180427,2.1199,2.1648,2.2687,2.2069,2.1175,2.1217,2.1417,2.1229,1.9704,2.2687,1.6825,-0.5861999999999998
20200416,2.0675,1.9937,1.9691,1.9349,1.8668,1.8318,1.8468,1.8292,1.686,2.0675,1.4886,-0.5789
20180502,2.1199,2.1647,2.2678,2.2051,2.1167,2.121,2.1406,2.1212,1.9662,2.2678,1.6919,-0.5758999999999999
