trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200417,,,,,,,,,20.9271,20.9271,17.6295,-3.297599999999999
20200415,,,,,,,,,20.716,20.716,17.4516,-3.264400000000002
20200416,,,,,,,,,20.8195,20.8195,17.8835,-2.936
20200413,,,,,,,,,20.5105,20.5105,17.6549,-2.855599999999999
20200401,,,,,,,,,19.3216,19.3216,24.5349,5.2133
20200402,,,,,,,,,19.4813,19.4813,24.7492,5.267899999999997
20200403,,,,,,,,,19.6426,19.6426,24.9277,5.2851
20200324,,,,,,,,,18.3645,18.3645,23.892,5.5275
20200407,,,,,,,,,19.8061,19.8061,25.4277,5.621600000000001
20200325,,,,,,,,,18.5193,18.5193,24.2492,5.729899999999997
20200316,,,,,,,,,17.4066,17.4066,23.1421,5.735499999999998
20200410,,,,,,,,,20.3366,20.3366,26.142,5.805399999999999
20200326,,,,,,,,,18.6764,18.6764,24.4992,5.822799999999997
20200330,,,,,,,,,18.9995,18.9995,24.8563,5.8568
20200331,,,,,,,,,19.1582,19.1582,25.142,5.983799999999999
20200323,,,,,,,,,18.2061,18.2061,24.3206,6.1145
20200408,,,,,,,,,19.9737,19.9737,26.6777,6.704000000000001
20200317,,,,,,,,,17.5535,17.5535,24.2849,6.731400000000001
20200327,,,,,,,,,18.8342,18.8342,25.6063,6.772100000000002
20200313,,,,,,,,,17.2509,17.2509,24.2135,6.962599999999998
