trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200417,7.9805,7.8588,8.1291,8.3048,8.9797,10.0929,11.9535,15.699,19.7734,19.7734,8.5218,-11.251599999999998
20200429,7.9722,7.8546,8.1251,8.32,9.008,10.1528,12.0342,15.7997,19.2559,19.2559,8.5729,-10.683
20200430,7.9715,7.8537,8.1255,8.3239,9.0125,10.1625,12.0465,15.8185,19.1894,19.1894,8.8006,-10.3888
20200506,7.971,7.8543,8.1261,8.3281,9.0171,10.1696,12.0595,15.8371,19.1028,19.1028,8.8982,-10.2046
20180209,6.1807,6.5841,6.7705,6.8239,6.2572,6.0559,6.0445,5.1832,4.8745,6.8239,3.1861,-3.6378
20180206,6.1783,6.5837,6.776,6.8366,6.284,6.0699,6.0939,5.2277,4.9224,6.8366,3.2495,-3.5871
20180207,6.1791,6.5838,6.7742,6.8325,6.2752,6.0656,6.0767,5.2134,4.9056,6.8325,3.2728,-3.5596999999999994
20180213,6.1822,6.5841,6.7666,6.8156,6.2375,6.0456,6.0095,5.1548,4.8391,6.8156,3.3028,-3.5128
20180212,6.1814,6.584,6.7684,6.8198,6.2472,6.0505,6.0281,5.169,4.8545,6.8198,3.3095,-3.5103
20180208,6.1799,6.5839,6.7723,6.828,6.2663,6.0608,6.0603,5.1982,4.8901,6.828,3.3262,-3.5018000000000002
20180214,6.183,6.584,6.7643,6.8112,6.2271,6.0395,5.9903,5.1405,4.8235,6.8112,3.3295,-3.4817000000000005
20170523,5.831,6.1943,6.9671,7.0825,7.3678,7.2744,6.7554,7.0291,6.5527,7.3678,4.0929,-3.2748999999999997
20180202,6.1763,6.5828,6.7789,6.8435,6.2969,6.0775,6.1258,5.2535,4.9501,6.8435,3.6031,-3.2403999999999997
20180205,6.1773,6.5832,6.7775,6.8403,6.2908,6.0735,6.11,5.2406,4.9355,6.8403,3.6098,-3.2305
20170524,5.8317,6.1959,6.9626,7.0823,7.3644,7.261,6.7443,7.0249,6.5231,7.3644,4.21,-3.1544
20180223,6.1847,6.5835,6.7582,6.8029,6.21,6.0257,5.9553,5.1129,4.7958,6.8029,3.6531,-3.1498000000000004
20180222,6.1837,6.5837,6.7614,6.8069,6.2184,6.0321,5.972,5.1264,4.8083,6.8069,3.6632,-3.1437
20180228,6.1878,6.583,6.7463,6.7907,6.191,6.0126,5.9068,5.0731,4.7672,6.7907,3.6832,-3.1075000000000004
20180201,6.1751,6.5822,6.7802,6.8467,6.3029,6.0808,6.1417,5.2662,4.9634,6.8467,3.7432,-3.1035000000000004
20180227,6.1868,6.5832,6.7511,6.795,6.1963,6.0161,5.9216,5.0867,4.7761,6.795,3.6932,-3.1018
