trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20181022,2.2647,2.2252,2.2769,2.1359,2.0885,2.0791,2.0528,2.0654,1.7258,2.2769,1.1895,-1.0874
20190930,2.0653,2.0704,1.8842,1.8316,1.7685,1.7192,1.4759,1.2904,1.206,2.0704,0.9893,-1.0810999999999997
20181024,2.2622,2.2235,2.2745,2.1322,2.0823,2.0748,2.0469,2.05,1.7082,2.2745,1.1946,-1.0799
20200428,1.9468,1.8159,1.6924,1.615,1.526,1.3134,1.1879,1.06,1.0028,1.9468,0.869,-1.0778
20190902,2.0786,2.0898,1.9189,1.8626,1.8029,1.7651,1.5475,1.3162,1.2929,2.0898,1.0126,-1.0772
20200506,1.943,1.813,1.6878,1.6104,1.5163,1.3055,1.1847,1.0539,0.9993,1.943,0.8683,-1.0747
20200430,1.9444,1.8141,1.6893,1.6119,1.5185,1.308,1.1857,1.0559,1.0004,1.9444,0.871,-1.0734
20200204,2.0065,1.9603,1.7785,1.712,1.6547,1.4993,1.2595,1.2052,1.0544,2.0065,0.9354,-1.0711
20200424,1.9491,1.818,1.6955,1.6183,1.5338,1.3193,1.1897,1.0659,1.0056,1.9491,0.8786,-1.0705
20200319,1.9776,1.887,1.7323,1.6629,1.6057,1.3953,1.2135,1.1464,1.0333,1.9776,0.9087,-1.0689000000000002
20191115,2.046,2.0344,1.8307,1.7871,1.7185,1.6197,1.3752,1.2633,1.0915,2.046,0.9773,-1.0686999999999998
20190903,2.0778,2.0888,1.917,1.8609,1.8011,1.7629,1.5432,1.3145,1.2885,2.0888,1.0203,-1.0685
20190926,2.0666,2.0729,1.8882,1.8346,1.7725,1.7254,1.4841,1.2931,1.2187,2.0729,1.0048,-1.0681000000000003
20200203,2.0075,1.9624,1.7798,1.7134,1.656,1.5026,1.2616,1.2065,1.0557,2.0075,0.9398,-1.0676999999999999
20200427,1.948,1.8168,1.694,1.6167,1.5299,1.3163,1.1889,1.0629,1.0042,1.948,0.8813,-1.0667
20190927,2.0659,2.0717,1.8862,1.8331,1.7705,1.7224,1.48,1.2917,1.2126,2.0717,1.0063,-1.0654
20200324,1.9745,1.8778,1.7275,1.6581,1.6001,1.3865,1.2101,1.1377,1.0298,1.9745,0.91,-1.0644999999999998
20191113,2.0475,2.0372,1.8331,1.7901,1.7212,1.6251,1.3816,1.2666,1.0954,2.0475,0.9845,-1.0629999999999997
20200331,1.9691,1.8623,1.7201,1.6495,1.5876,1.372,1.2045,1.1241,1.0245,1.9691,0.9073,-1.0618
20191114,2.0468,2.0358,1.8319,1.7886,1.7198,1.6224,1.3783,1.2651,1.0932,2.0468,0.986,-1.0608000000000002
