trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200422,1.2832,1.2318,1.2015,1.1698,1.1201,1.0699,1.0146,0.9594,0.8409,1.2832,0.7499,-0.5332999999999999
20200420,1.2842,1.2329,1.2032,1.1715,1.1224,1.0721,1.016,0.9649,0.8435,1.2842,0.7577,-0.5265
20200205,1.3104,1.2775,1.24,1.213,1.1855,1.1215,1.0731,1.0528,0.9145,1.3104,0.7849,-0.5255
20200331,1.2909,1.2391,1.2131,1.182,1.1379,1.0844,1.0282,0.9938,0.8598,1.2909,0.7655,-0.5254
20200401,1.2904,1.2387,1.2123,1.1812,1.1367,1.0835,1.0271,0.9918,0.8585,1.2904,0.7655,-0.5249
20200323,1.2937,1.2417,1.2191,1.1866,1.1458,1.09,1.0347,1.006,0.8682,1.2937,0.7693,-0.5244000000000001
20200403,1.2895,1.2379,1.2107,1.1798,1.1343,1.0817,1.0248,0.9875,0.8562,1.2895,0.7655,-0.5240000000000001
20200417,1.2847,1.2335,1.204,1.1724,1.1236,1.0731,1.0167,0.9672,0.8448,1.2847,0.7616,-0.5230999999999999
20200330,1.2913,1.2396,1.2141,1.1828,1.1391,1.0853,1.0293,0.9957,0.8612,1.2913,0.7693,-0.5219999999999999
20200415,1.2858,1.2347,1.2055,1.1742,1.126,1.0751,1.0181,0.9716,0.8474,1.2858,0.7655,-0.5203000000000001
20200416,1.2852,1.2341,1.2047,1.1733,1.1248,1.0741,1.0174,0.9695,0.8461,1.2852,0.7655,-0.5196999999999999
20200318,1.2953,1.243,1.2215,1.189,1.1495,1.093,1.0379,1.0121,0.873,1.2953,0.7771,-0.5181999999999999
20200410,1.2873,1.2362,1.2078,1.1767,1.1295,1.0781,1.0207,0.9784,0.8515,1.2873,0.7693,-0.5180000000000001
20200413,1.2868,1.2357,1.207,1.176,1.1283,1.0771,1.0196,0.9761,0.8502,1.2868,0.7693,-0.5175
20200319,1.2948,1.2424,1.2207,1.1882,1.1483,1.092,1.0368,1.0102,0.8714,1.2948,0.781,-0.5137999999999999
20200402,1.29,1.2383,1.2115,1.1805,1.1355,1.0826,1.0259,0.9896,0.8573,1.29,0.7771,-0.5129
20200324,1.2932,1.2412,1.2181,1.1858,1.1444,1.089,1.0335,1.0036,0.8667,1.2932,0.781,-0.5121999999999999
20200327,1.2918,1.24,1.2151,1.1835,1.1404,1.0862,1.0304,0.9976,0.8625,1.2918,0.781,-0.5108
20200206,1.3099,1.2761,1.2394,1.2121,1.1842,1.1204,1.0715,1.0516,0.9121,1.3099,0.8004,-0.5095000000000001
20200414,1.2863,1.2352,1.2063,1.1752,1.1271,1.0761,1.0188,0.9738,0.8488,1.2863,0.7771,-0.5092
