trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200214,9.8135,9.4592,9.621,9.4786,8.1574,6.9884,6.2813,5.5376,4.9034,9.8135,3.677,-6.1365
20200204,9.8407,9.519,9.6637,9.6168,8.3159,7.0952,6.4068,5.6239,5.0112,9.8407,3.7059,-6.1348
20200323,9.7089,9.2818,9.457,8.9576,7.6474,6.7207,5.9371,5.2078,4.5339,9.7089,3.5756,-6.1333
20190524,10.1619,10.5078,10.3108,10.6063,10.9591,9.9847,8.5084,7.7051,7.0821,10.9591,4.8271,-6.132
20200319,9.7193,9.2924,9.4701,8.996,7.6839,6.7454,5.9613,5.239,4.567,9.7193,3.619,-6.100300000000001
20200225,9.7905,9.4048,9.5802,9.3354,8.0247,6.9305,6.1782,5.4691,4.817,9.7905,3.6914,-6.0991
20200302,9.775,9.3659,9.5544,9.2577,7.9405,6.8934,6.1232,5.4211,4.7596,9.775,3.677,-6.098000000000001
20200330,9.6817,9.2611,9.4266,8.8601,7.556,6.6545,5.8726,5.135,4.4467,9.6817,3.5901,-6.0916
20200326,9.6924,9.2694,9.4387,8.8999,7.5923,6.6826,5.8984,5.1601,4.4836,9.6924,3.6046,-6.0878
20200331,9.6755,9.2564,9.4204,8.8372,7.5378,6.6402,5.8588,5.1259,4.4274,9.6755,3.5901,-6.0854
20200318,9.7241,9.2978,9.4767,9.0152,7.7022,6.7568,5.9739,5.2558,4.5832,9.7241,3.648,-6.0761
20200324,9.7035,9.2774,9.4505,8.9389,7.6291,6.7086,5.9245,5.1914,4.5175,9.7035,3.6335,-6.07
20200327,9.6871,9.2654,9.4327,8.8808,7.574,6.6689,5.8858,5.1461,4.4653,9.6871,3.619,-6.068099999999999
20190211,10.1097,10.5893,10.5869,10.703,11.2587,11.4773,9.9315,8.4514,7.797,11.4773,5.4098,-6.0675
20200217,9.8102,9.4522,9.6157,9.458,8.1382,6.9793,6.2664,5.5283,4.8917,9.8102,3.7493,-6.0609
20200219,9.8039,9.4377,9.6053,9.418,8.1008,6.9625,6.2366,5.5107,4.8675,9.8039,3.7493,-6.054600000000001
20200226,9.7866,9.3954,9.5739,9.3156,8.0046,6.9218,6.1632,5.4583,4.8029,9.7866,3.7349,-6.0517
20200303,9.7711,9.3575,9.5481,9.2377,7.9199,6.882,6.11,5.4074,4.7454,9.7711,3.7204,-6.050700000000001
20200227,9.7828,9.3849,9.5673,9.2964,7.9829,6.9132,6.1499,5.4471,4.7893,9.7828,3.7349,-6.0479
20191112,10.0236,10.0505,9.8976,10.0948,9.18,7.8495,7.0585,6.3603,5.5123,10.0948,4.0533,-6.041499999999999
