trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20181022,1.1887,1.2137,1.2473,1.1951,1.1962,1.181,1.0624,1.0118,0.8705,1.2473,0.7304,-0.5169
20181227,1.1749,1.2105,1.1855,1.1592,1.1618,1.0944,1.0244,0.9367,0.7942,1.2105,0.6947,-0.5157999999999999
20190103,1.1742,1.2101,1.1801,1.1567,1.1588,1.0897,1.021,0.9312,0.7906,1.2101,0.6947,-0.5154
20200424,1.113,1.0637,1.0181,0.9323,0.8861,0.8198,0.8047,0.8031,0.7323,1.113,0.599,-0.514
20181225,1.1754,1.2107,1.1888,1.1608,1.1637,1.0976,1.0265,0.9404,0.7969,1.2107,0.697,-0.5137000000000002
20180719,1.207,1.2155,1.284,1.2346,1.2234,1.2401,1.1677,1.1213,1.0399,1.284,0.7717,-0.5123
20181226,1.1751,1.2106,1.1871,1.16,1.1628,1.0959,1.0255,0.9385,0.7956,1.2106,0.6993,-0.5112999999999999
20180712,1.2083,1.216,1.2875,1.2383,1.2264,1.2459,1.1795,1.1292,1.0564,1.2875,0.7763,-0.5112000000000001
20181015,1.1907,1.2143,1.2523,1.1986,1.2001,1.1874,1.0705,1.0225,0.8854,1.2523,0.7442,-0.5081
20181023,1.1883,1.2136,1.2462,1.1941,1.1954,1.1795,1.0611,1.01,0.8676,1.2462,0.7396,-0.5065999999999999
20190104,1.1739,1.2099,1.1786,1.1559,1.1578,1.0881,1.0199,0.9293,0.7897,1.2099,0.7039,-0.506
20200421,1.1155,1.0658,1.0209,0.9348,0.889,0.8226,0.8056,0.8083,0.7368,1.1155,0.6095,-0.5059999999999999
20190131,1.1718,1.2075,1.1626,1.1456,1.1408,1.0581,0.9964,0.8969,0.7826,1.2075,0.7016,-0.5059
20180711,1.2086,1.2162,1.2881,1.2393,1.2272,1.2469,1.1819,1.1307,1.0597,1.2881,0.7832,-0.5049
20180718,1.2073,1.2156,1.2847,1.2353,1.2239,1.2413,1.1701,1.123,1.0432,1.2847,0.7809,-0.5037999999999999
20180713,1.2081,1.2159,1.2867,1.2376,1.2258,1.2449,1.1772,1.1276,1.053,1.2867,0.7832,-0.5035
20200422,1.1147,1.0652,1.02,0.9339,0.888,0.8216,0.8054,0.8064,0.7354,1.1147,0.6121,-0.5026
20200417,1.1171,1.0669,1.0226,0.9367,0.8909,0.8244,0.8061,0.812,0.7396,1.1171,0.6148,-0.5023
20180717,1.2076,1.2157,1.2853,1.2363,1.2245,1.2425,1.1723,1.1244,1.0464,1.2853,0.7832,-0.5021000000000001
20200415,1.1186,1.068,1.0243,0.9386,0.893,0.8264,0.8067,0.8154,0.7425,1.1186,0.6174,-0.5012000000000001
